gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
RNF2,218.8327239,402.5331555,907.68342,495.1814695,900.1294646,671.0745713
TRMT1L,305.5353474,551.0231306,1131.254915,673.8104754,1416.195949,828.3998441
SWT1,51.82885734,128.7280991,487.9206527,145.8818663,370.309069,297.0514771
IVNS1ABP,680.9128113,927.1222851,1823.121572,1254.023799,2295.836534,1634.35547
AL078644.2,9,13,15,12,23.15363313,4.758121917
HMCN1,24.54668057,17,41.71317377,13.20685838,49,25.36880698
PRG4,955.0953471,1677.284384,2041.920521,1002.94704,2240.705843,1631.215409
TPR,2882.142571,3959.774097,5544.873203,4964.024491,8268.356005,6568.385055
ODR4,703.8205975,889.1996796,1987.779708,974.0507941,2136.676311,1694.122398
OCLM,3,3,4,3,6,2
AL096803.2,32.06208723,27.83597638,214.2361746,41.27491947,50.86202156,45.93362302
PDC,15,8,20.77489048,8,10,35
AL096803.4,6,2,7,3,3,2.494494533
PTGS2,53.19203055,51.49055278,46.88924369,243.1445926,531.7666438,333.8794892
PACERR,4,5.943854338,1,4,26,17
PLA2G4A,45.40581803,51.85119914,79.13247854,34.31976079,290.9360668,133.3836596
BRINP3,18.13879077,12.82344383,165.3569277,5,4,6.14864417
AL354771.1,3,0,42,0,0,0
LINC01351,4,8,11,4,3,0
AL390957.1,6,14,157.0873714,12,33,7.317000547
RGS1,339.4275624,263.4953185,208.2708673,354.0164681,748.7937031,356.442998
RGS13,28,17,22.51254384,4.434331136,33.74332338,62.09756461
AL136454.1,21.2904434,50.6227951,240.317603,39,16.42332993,55.46776549
RGS2,1281.342252,1946.365773,1365.567116,1020.873164,2446.654078,2000.916645
UCHL5,490.756869,801.0921479,1484.850978,1139.614646,2468.127383,1656.400631
RO60,1068.701444,1522.362632,2612.632108,1625.165282,3651.416226,2924.870685
GLRX2,741.5851925,1133.04983,1764.063317,1718.545871,2945.614471,1786.373553
CDC73,922.5017007,1301.305172,3561.627046,1946.438969,3526.571172,2646.638873
B3GALT2,185.5573091,155.0503201,237.0080813,225.9995152,437.896166,435.6849449
AL138778.1,5,0,12,3,6,6
KCNT2,76.47043199,72.26212104,1622.507208,87.43616612,98.83292882,117.2066503
CFH,117.4948779,125.3396466,161.8516418,177.5986464,219.4150581,258.2872758
ASPM,38.22554711,66,104.2074459,152.5004268,155.9787409,139.9946621
ZBTB41,881.2588227,1430.771821,2232.108727,2087.30221,3110.576878,2688.624701
CRB1,8,6,246.8199765,30.471054,15.89742805,18
DENND1B,296.1428062,353.6861328,1720.281847,285.0911926,423.7331011,372.4743637
C1orf53,215.8624109,374.4047725,614.7573119,556.6065166,496.7420262,220.6322549
NEK7,394.4220803,633.5067086,2441.977804,708.8721182,1213.43046,1088.625338
PTPRC,128.7428131,132.3691819,288.1085879,210.8290636,465.7116819,283.7055956
MIR181A1HG,103.7505354,83,1082.171726,110.7968035,153.5371155,150.3140035
NR5A2,468.8006393,382.0076637,2383.592667,187.5868923,302.5707388,264.4634848
LINC00862,8,9,331.1007878,6,16,14
AC104461.1,22,31.52066538,311.5505652,40,28.38621866,33.57511963
ZNF281,370.8073431,513.129392,723.9298315,635.3675937,1059.577199,904.4704462
KIF14,17,21,34.35724142,33.63506327,35.50134161,38
DDX59,275.2749673,431.3634058,791.2062355,608.6495101,583.7244468,464.4231823
DDX59-AS1,18,12.82663919,14.21390845,4,18.34427194,20.93283805
CAMSAP2,537.5368926,710.3099793,2431.469963,763.2567378,1710.677935,1460.838008
INAVA,145.5444638,208.8254155,92.63816733,126.7484537,143.9503696,215.0884073
KIF21B,18.13462666,10.9742051,22.1755661,7.625379978,21.28155,13.76317742
ASCL5,7,12,24,5.327304009,10,6
TMEM9,1371.253819,2134.119689,3464.434609,3154.215977,3987.151607,2627.837549
IGFN1,3,0,14,12,1,3
LAD1,174.9570578,257.5843931,112.9703523,180.7983788,405.3632237,369.2542537
AC119427.1,11,11,2,12,21,19.98772601
PHLDA3,397.081466,582.3510201,911.146136,718.5738533,1450.834725,1083.9249
CSRP1,916.5464152,1626.30962,1905.45271,1753.04824,3985.44207,2742.583252
AC096677.1,33.29761322,62.63993252,455.7710562,94.35371245,85.29767921,63.23919347
NAV1,1553.77803,2116.795981,8219.254173,2334.317033,4304.700111,3537.37394
IPO9-AS1,22.51092984,23.15877198,1846.289403,35.31815147,57.64849578,45.54471075
AL645504.1,145.0999553,87.61830079,30.26540888,31.8688785,25.89152972,76.91355319
IPO9,468.4945498,690.7165739,1821.024757,499.9071067,1141.110465,798.7819146
SHISA4,130.8133496,153.1582901,289.4756019,210.6157739,504.0354204,209.920534
LMOD1,18.25372842,17.53654233,42.85824098,17.33188555,23.11243841,17.9366884
TIMM17A,840.2772402,1166.419619,2197.513168,1353.832708,2720.656151,1619.091251
RNPEP,470.0462787,675.6121031,1046.721248,606.525139,530.8998918,451.415943
ELF3-AS1,270.1396576,353.0258352,426.5094744,240.3673144,486.1627033,498.241687
ELF3,3245.316589,4613.250447,3579.706589,3766.960527,4751.865514,6574.77026
GPR37L1,4,14,6,1.546803937,5.765702517,12
ARL8A,646.1223044,1146.751169,1481.178414,1341.16386,2151.516713,1512.230466
PTPN7,11.2026998,16.69838899,19.81902354,15.54168771,35.17947227,21.17286975
UBE2T,158.3499764,204.5549097,329.7485759,225.3082447,366.0003332,246.8473321
PPP1R12B,323.344138,327.5720691,2474.07588,370.5351964,646.0480148,615.4105818
SYT2,2.83596061,2.151394106,61.06524591,5,0.695427559,7
AC104463.2,9,2,14,4,5,4
KDM5B,1353.956997,1550.435005,2584.711793,1626.498799,3013.38173,2798.387834
PCAT6,82.4604867,117.0945564,110.4271449,101.4514366,230.9669103,138.5396706
RABIF,328.3249616,536.6730077,802.5849674,641.0210295,931.7363803,564.9385418
