	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
LPCAT1	10276.4	0	0	5650.44643	0	0	0	4174.884548	0	0	0	0	0	0	0	5789.282933	0	4308.660652	7351.117682	5201.294725	6615.536866	0	0	0	0	0	0	0	0	0	4606.995226	0	1230.190622	0	5627.708111	3362.234446	0.888354333	-0.170792863	0.805178754	0.913364674
PPIB	483178	474770.4205	463195.9647	377093.3027	384348.0841	388025.2457	354126.3401	324541.4508	373684.4279	242567.3393	253325.8073	282926.6462	271870.9274	245290.9928	271373.4545	380034.8437	399730.3064	389715.5502	551821.6078	565573.3435	556040.9218	341360.2458	314187.6723	329297.6264	302067.2703	289872.3609	289392.9276	227020.3441	181340.8456	203536.8301	332834.1597	325461.1988	369054.0626	406046.2249	414000.3387	431975.427	0.988946417	-0.01603574	0.805188147	0.913184805
MBOAT7	14524.5	10920.26028	19495.11383	5517.105958	8191.317654	8340.449735	13949.23835	10516.92888	14265.30726	0	0	0	1278.775892	5702.452767	12689.60233	9982.393086	13084.10407	16334.64717	13423.66284	14736.38464	11886.29987	9958.38109	9947.765552	7521.351753	11941.00773	0	0	0	0	0	16585.05011	7161.554454	10091.30559	12607.33564	17022.37732	15190.59856	1.04250643	0.060056282	0.805224943	0.913036082
CORO1C	17805.9	19245.48536	15783.94657	14842.59082	15589.35302	16077.97261	14867.14569	15192.26477	16421.30024	13378.3018	10615.03778	12280.82575	21657.45873	22967.97237	21014.95592	21338.94987	20197.44699	22341.11609	16889.49802	19540.28111	15692.16524	15790.86485	18242.59787	17091.37172	13076.52673	17424.92552	14506.70627	14169.02349	11424.79555	10101.89647	19486.16128	20985.73626	19604.24311	24203.57778	21226.94483	20309.39303	1.005976482	0.008596578	0.805275114	0.912902584
CRH	0	0	1573.790548	3259.932728	3502.573028	4184.574231	4355.349573	3674.170374	4022.769633	133.7481321	895.8748488	0	9227.858056	7094.833913	7219.912018	6848.547775	7674.171757	6235.420949	4654.49403	0	0	4956.546247	1763.748039	2079.992739	1520.376102	0	0	3255.602004	1090.10393	0	9409.633768	12271.22372	10125.58573	6110.747635	7092.175342	8418.832858	0.960885618	-0.057563389	0.805654248	0.913141994
MPP2; MPP6	13689.2	15874.78544	7609.758081	18605.25627	16476.82499	14997.33296	10935.26516	19563.47197	18100.73186	0	26321.24129	0	14470.47145	9996.333781	7973.662914	10531.47272	10172.0846	18147.75101	0	11090.03683	16547.71398	23723.26525	18934.54532	15656.6864	34573.52155	4051.426545	10702.79815	0	7826.512031	0	18079.92636	14139.2843	11492.69908	18977.61969	21744.68305	16718.17227	0.955812268	-0.06520081	0.805695289	0.912998183
MINA	0	5794.610318	2442.779347	12312.23083	10445.13054	14448.13842	10012.83639	8249.950799	10001.18383	0	0	0	10158.49864	10811.20591	2149.906201	8462.79303	7841.976565	8890.81887	8453.717898	9309.575943	3918.857669	7422.977183	9445.565166	7796.427861	4717.478924	10280.40504	8159.757173	0	0	0	9845.935674	10153.74667	11539.97485	8605.087864	9170.490727	7519.605127	0.965825886	-0.050164965	0.805700372	0.912813695
SH3GLB1	22413.8	23483.82295	29316.49356	32888.92252	33839.03759	37326.90282	39291.44785	41060.45919	38722.21649	16986.26549	36242.73978	23393.80503	42391.99443	43253.9212	42047.62558	38604.7722	42382.36487	40725.84333	26345.49494	25216.72593	28439.11584	42029.64818	39755.00645	40405.28695	37794.74628	41384.85897	38933.21937	8294.125927	19732.24829	52347.56635	41561.99686	42723.00677	42371.17304	37889.58396	36971.26003	31929.52068	0.984621082	-0.022359465	0.805711891	0.912636574
CREB1	7240.42	9426.064359	7046.289723	8956.691367	9676.281518	8916.971454	7402.907255	7735.375194	10340.60194	7883.115195	3341.373859	0	11429.88632	10524.87448	6219.314946	5310.653172	7110.41566	7177.8407	7006.590939	7260.012931	10558.04514	9167.696024	8247.087043	11989.37654	8870.909413	12437.21983	7337.672586	5610.905686	5398.190394	4813.921775	6336.568804	7210.230525	6781.116272	6552.87018	8750.076969	4477.699102	0.977903629	-0.032235798	0.805946293	0.912711934
PPP1R9A; PPP1R9B	3298.98	5282.624338	2857.217894	5751.545682	7182.316216	8119.354272	6691.154188	4393.69631	5229.18313	5036.275878	0	0	2918.663123	6056.079844	8252.946074	8096.690594	6412.956783	7117.118219	1190.007553	4803.840368	0	7672.154901	8224.022128	9544.068554	7579.083982	8547.310017	6799.888745	3614.920447	2994.901167	0	6819.088606	6333.339435	2502.523327	6213.735905	5542.883738	6921.998868	0.972645728	-0.040013675	0.806286545	0.912907111
KHDRBS1; KHDRBS2	17397.4	18267.65743	16114.67672	17978.39485	18976.77702	19249.00919	17290.63169	21455.16296	16596.97204	12609.62166	8366.528116	11440.68359	20419.90534	19685.57471	18763.85216	21121.95328	23268.42609	23058.4727	8346.316008	13592.09756	8593.128821	19775.71862	22094.865	22644.28393	22074.41855	23365.54756	20265.52911	11151.24242	9548.639905	17336.65303	20545.9175	20372.81321	19995.88229	16650.64207	20335.49354	20958.84182	1.01389484	0.019908026	0.80644082	0.912891679
LSM12	18702.1	25279.6586	15325.69536	19598.63127	24025.54762	22437.67993	23976.73791	23407.1906	22871.27627	8000.927297	13586.46068	7751.530965	18918.4401	17784.22478	25129.02413	20895.12204	20305.55475	16495.02394	20510.4343	18823.34862	19031.70779	20256.18924	21805.54391	21913.3413	20721.64775	20578.65568	21875.50261	10190.74768	9498.868763	9732.530172	18385.03911	21835.39678	18641.12937	22543.7233	23130.54909	21383.67887	1.010657786	0.015294576	0.806797186	0.913104975
FAM107B	15541.8	17372.15216	13449.49632	10431.83079	8939.60104	9795.671188	10498.87285	10084.55053	8699.756198	3694.855008	4415.599721	0	17153.28256	20500.39177	12376.59012	8605.427046	10106.13147	8443.520881	17375.25667	20031.13864	17352.8096	12966.03675	11520.56616	9344.171295	12713.15181	11307.57376	11869.98794	0	0	1523.637965	12425.6469	12604.93673	9417.584156	13191.82903	9444.568468	10724.78249	0.980888094	-0.02783954	0.806899455	0.913030663
ATP8A1	11783	8689.877105	10736.99864	16223.66648	15216.3693	14877.46678	17043.95626	18696.70404	16742.14209	8289.739672	11209.94422	8426.061599	16174.37158	14583.22072	14069.60687	16035.96349	19250.79073	18326.76877	9032.076405	9560.760365	11540.49763	16582.68044	17944.75083	18954.12167	17546.70086	16649.49417	19328.09971	11085.53077	5772.664136	9359.381156	12162.93683	10192.67288	13956.03766	21320.39731	19553.67335	18918.19073	0.988113734	-0.017250987	0.806920249	0.91286421
YEATS2	5720.82	0	12165.84319	5202.777098	10218.35273	5214.213139	6602.156438	7200.938778	0	0	0	0	0	0	0	6093.353108	3163.256421	3166.88947	4201.340323	0	6971.588451	2174.915278	9208.925418	10220.35491	2986.75403	6857.911909	6574.807301	0	0	0	0	2044.551871	0	3793.506235	0	6574.930955	1.050950085	0.07169415	0.807223727	0.913017558
ASB9	0	2428.577971	6971.534304	9359.68358	9539.559421	9315.111561	11489.92432	11761.0751	12589.77436	4743.855794	449.9472201	0	10279.78392	10239.29201	8921.191705	4946.464789	7215.828655	7948.131288	11958.06985	9073.145296	0	7637.753204	6125.709416	8472.769959	9006.550973	8677.106027	9001.453985	11921.91254	0	1212.990424	6255.682304	10759.15856	7213.647954	9720.674905	8505.814588	7597.36357	0.962895637	-0.054548654	0.807277603	0.912888587
ENDOD1	0	4775.975545	4562.554419	4906.537864	6184.674513	3877.739878	8179.597202	5679.243983	5276.472328	4270.999237	0	3750.943727	4257.379062	4817.421348	7547.605788	5967.184184	4153.715871	5633.959853	5222.692291	5690.076633	5821.733666	2989.714317	4872.452119	3441.773309	4004.336327	0	6879.059167	0	0	0	6237.031341	7704.565153	7040.945594	10119.80649	8739.167601	8473.060549	0.961089532	-0.057257262	0.807700945	0.913177384
KIF1A	12561.1	11351.56807	10954.0495	14613.67816	14440.7577	14099.48921	15482.86132	13543.5202	13085.37067	0	0	0	13607.81781	11876.52579	11797.35083	12474.97752	12073.83015	12806.78677	11463.31983	11960.992	14297.84528	14542.09344	14589.6807	13635.53025	13671.84307	11767.95578	15052.87505	0	0	2609.718321	11841.23623	11552.01464	9928.110452	10336.25587	12613.70251	13264.3925	1.008502762	0.012215035	0.807902021	0.91321482
EIF4G3; EIF4G1	7152.65	10840.30094	9992.880346	6145.452781	9914.476957	4302.123761	7361.275768	7245.402772	4124.205192	4401.778667	3420.85018	0	10547.70276	11817.93121	9751.122102	9494.785249	8679.130118	4885.952744	8209.208885	9629.581396	9496.545661	5917.724902	8690.727674	8200.280075	6567.454849	6393.753609	6489.449298	3573.162279	0	7724.917538	8945.142885	9577.4902	8520.604437	9135.839891	7892.342619	7859.645902	0.979327131	-0.030137242	0.807981311	0.91311461
IAH1	8299.79	0	0	8451.851444	6905.861286	6975.86555	11499.19611	9893.17594	9675.789656	0	7455.469679	13711.33327	3477.258253	5826.734946	11155.69664	7467.030359	8218.293034	10824.52133	0	13080.37157	0	9454.406976	7346.691537	8637.719755	7996.147816	13010.78225	5168.870914	0	0	0	12720.59959	9240.094838	12973.24304	6577.274781	5810.501842	11440.01043	1.051687364	0.072705897	0.808546332	0.91356326
KRT17; KRT23	14206.4	12087.54854	19931.08076	0	3031.833067	4150.769665	2845.821818	4758.744449	5858.597314	7526.998637	6590.704775	7245.13539	9230.56963	9073.854701	5009.372727	19662.40798	23130.306	23651.98459	15326.68587	13993.08609	11154.45762	9597.768104	6738.062722	3723.8835	7329.669627	4475.200268	4605.92133	3414.837006	10219.54562	4039.269146	10434.48294	12040.03069	11373.0518	17473.20309	22768.98143	14280.38625	0.972695593	-0.039939713	0.809242187	0.91415952
ACP6	0	0	0	0	1327.432958	1924.278537	0	0	1381.099154	0	0	0	1293.662102	0	0	0	0	0	0	0	0	1676.514622	1030.274761	678.1591435	0	0	894.5743895	0	0	0	0	967.4193745	0	0	0	0	1.129509802	0.175696791	0.809477813	0.914235743
RBM4B	0	4786.33481	4100.07214	10833.08428	2638.526889	8338.824626	3599.4582	6076.871625	5591.924764	0	0	2861.948036	3754.662107	4784.709714	5326.448673	5176.341588	6766.563223	0	5748.889624	4375.498449	5754.137833	10719.49178	10955.06066	5976.829951	5077.827554	4910.777551	7118.024406	0	0	2496.875221	4427.763514	0	0	6024.114505	0	4941.20146	0.950453386	-0.073312222	0.809520982	0.914094617
TMPO2	0	0	3707.858974	0	0	0	0	0	0	0	0	0	0	0	0	2275.714737	0	0	0	0	0	0	2243.758541	0	0	0	0	0	0	0	1516.647797	2968.267394	0	0	756.0869775	0	0.799434203	-0.322948797	0.809549404	0.9139369
VAMP7	0	0	0	0	7710.711747	8537.226195	6047.062304	6944.085217	7834.687234	0	0	0	0	0	0	6979.443671	6046.035016	5790.147757	0	0	6311.854478	7636.520938	7165.762086	0	9380.098176	0	7189.072262	0	0	0	6180.788164	0	0	8050.315561	0	8425.817214	0.926237772	-0.110545504	0.809729951	0.913950954
NUDT3	11484.6	11114.64421	10027.92655	18568.06372	16487.01517	20363.87987	18907.81525	18052.99887	18347.842	14662.86722	0	0	15429.62198	12351.56038	15352.18584	13560.91221	18081.15561	14449.44342	8919.47076	10053.50279	8952.649767	20687.93449	20379.91676	20652.55723	20860.37082	17785.07439	17665.21474	0	8265.564603	5808.665339	13522.00006	12839.16351	14072.87339	13359.86421	13329.52908	15202.89873	1.020157357	0.028791702	0.809851369	0.913898275
RABGAP1	3901.54	3464.730931	9227.135506	11389.21077	10036.71279	8842.884938	8491.129391	8518.894544	8374.224421	0	0	0	13084.93421	11766.93631	4717.679529	8693.875365	8403.98899	4679.369895	0	0	0	11254.09165	9976.002124	9830.593161	10798.96124	13023.5137	11295.50497	0	0	0	11403.10966	13159.48616	10558.22155	11149.465	8614.779299	6014.16102	0.972578692	-0.040113111	0.810608608	0.91456298
IL8	57386.8	91717.60165	78682.06659	6296.88288	7103.7013	7789.122963	6499.811887	12884.84514	11258.45271	30396.73034	22418.85201	13038.95297	125366.9136	160540.3269	106294.9437	47455.6317	52829.40037	63770.17459	80478.02591	92906.26037	105580.4514	6383.589217	8491.220644	9380.623673	4459.725721	3920.012131	5251.069534	23597.46731	18907.62394	13809.50825	118739.9723	99678.61195	116596.2213	50564.6034	58380.27846	66359.18389	1.020653178	0.029492716	0.810914012	0.914717735
MYLK2; MYLK3	2881.23	3303.05944	2903.258986	5253.407327	6735.442119	5193.213508	4569.562292	3831.891282	2633.047425	0	5055.702806	6557.134047	0	0	1523.96515	4705.420915	0	5871.589588	2047.930169	4389.53417	3939.934599	4672.322437	5778.086591	4506.193886	3347.080571	3991.114018	3633.443551	3483.237228	0	0	0	4070.78614	6268.694779	5024.027629	4575.281832	4349.969896	0.952249915	-0.07058784	0.810952401	0.914571294
SPAG9	16349.3	17018.0465	16835.43087	14135.47179	13248.39094	12930.10248	14234.14562	12872.7321	11223.61649	13826.8829	16350.0809	0	17440.79719	12474.1464	15638.83584	11616.82579	13966.5086	14099.97848	16801.38261	15736.27547	18502.46031	13475.33561	12593.03984	11377.04348	11791.01894	12925.86998	13856.90098	16955.31111	12538.92719	12437.64382	14070.9542	13922.52776	10942.77977	14615.43074	12286.74389	13357.65985	0.984181251	-0.023004062	0.811026637	0.914465331
