	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
PDE4DIP1	0	0	0	0	902.0439269	1903.878236	0	2575.312055	1536.58934	0	0	0	0	0	0	0	0	0	0	0	0	2264.712411	2973.332323	1354.9137	1834.159729	3511.041411	2720.644222	0	0	0	0	1787.843921	0	0	0	0	0.420622104	-1.24940343	0.022070832	0.134830463
DUSP23	11884.8	13090.48686	13724.46668	7917.476261	8349.971796	7988.884552	8022.732229	9937.502806	8220.717995	0	0	0	9199.12855	12022.79195	12952.91186	9791.104034	9310.244856	9043.503554	10074.82783	7206.753486	9762.348532	7213.231973	7694.796751	7522.466505	8733.125156	9444.941675	8244.590434	0	0	0	9335.517183	9210.918488	7950.608549	7906.279308	11609.39569	7472.971453	1.17060966	0.22726009	0.022184268	0.135371339
COX7A2	21632.8	31202.85379	28791.29134	40649.15375	40755.39013	40789.99794	46403.94199	46531.09608	47619.2136	15385.51505	10926.13723	11538.60391	12478.17846	12290.2123	13672.5065	19153.12163	19785.83434	17024.47083	21094.31126	20062.66572	26066.23225	21239.06255	16650.04176	19278.51439	13861.26191	10750.46512	13396.22139	14572.55312	12835.3128	14514.03881	18420.18462	13479.59958	21476.11386	20105.61187	20567.76099	19235.21415	1.500700775	0.585636346	0.022239985	0.135559193
PAICS	20356.4	20304.65125	18982.67353	25339.41069	25361.73487	25415.4323	20740.08147	26485.84513	25400.5145	11905.69308	18331.72044	19879.95821	27451.33393	29755.91168	29497.6492	25903.4922	23893.92937	25735.91841	18667.65343	28119.57324	22803.10632	27982.72211	29611.6042	28610.99194	31122.12256	25749.34893	28987.28477	14362.50328	13944.80738	16907.78778	30701.10253	34669.32969	26011.46424	25649.70517	29212.17293	29387.5576	0.909711541	-0.136518938	0.022337815	0.136003021
DENND4A	5880.79	5218.91289	8703.670868	7146.369924	6129.091717	5753.956689	7988.392261	7411.145712	9934.664763	3295.607614	6353.398603	6275.093304	3208.142811	7192.318986	5076.247305	0	0	7737.820242	0	6386.701646	4965.039811	0	4263.44188	7511.185218	0	0	0	0	6968.609026	0	0	0	0	7340.126732	9150.810871	0	2.217529124	1.148953052	0.022469378	0.136651014
PSMD4	23757.2	19957.04474	19964.26176	33931.00479	36730.73253	32095.78163	36049.41148	35475.43408	34277.21532	8425.21593	11053.78991	10851.11794	29099.795	25863.22729	25034.09932	31862.3328	28917.18885	25252.64546	21520.05253	19809.10274	21614.45366	27276.14766	31255.87688	31351.4973	26547.57479	31024.48319	29273.92499	6991.418889	7360.085332	8024.792224	29582.25209	29248.53319	31661.96058	24931.23202	26271.90992	23216.51063	1.097516193	0.134242226	0.022484068	0.13658757
AHCY	85276.7	76452.94934	83310.12894	141753.1272	145513.4431	142105.9593	114637.1148	116145.7589	109667.9394	34234.43018	32067.85779	32818.05858	114358.1446	106869.2373	103962.4609	111650.6681	114378.6483	115751.9603	112117.4135	112586.4499	108123.2883	132523.9724	132076.9291	139377.3941	117211.0516	115536.7908	109126.1836	38158.48637	31460.46232	34535.4734	118557.506	123758.3595	116321.3137	124678.0452	123867.0165	126214.6815	0.929405044	-0.105620621	0.022605101	0.137169569
GPLD1	14914.2	16023.08442	15580.83566	13187.11934	11638.92161	11308.34772	14544.57893	14105.40522	12701.23193	44825.69213	39022.94275	33941.92088	14408.77492	16520.80677	15832.64499	13643.1848	10907.25966	15654.57254	19972.41332	19111.58016	17012.56288	13843.88484	13884.71997	13379.58328	14428.19305	18010.46413	18529.72689	60004.15748	45977.09684	54266.11182	17092.6383	16543.901	17466.21184	8625.958816	14127.36401	10921.37124	0.836122194	-0.258214296	0.022734699	0.137802181
LUZP1	1222.74	1099.756088	4594.233439	1550.330552	2574.259282	4169.152987	5209.693634	0	0	0	0	0	7629.786144	5657.912078	1868.893346	3606.637738	1637.848475	3646.573495	5570.725667	6947.479732	7786.956105	4617.820111	2764.132645	3187.788301	6478.720683	5244.621952	2318.855969	0	0	0	4340.563264	3092.128274	4448.504577	4180.125928	4013.110767	5763.419454	0.628476384	-0.670069562	0.022889077	0.138583421
NDUFB10	19780	24062.14958	24149.28904	27231.85513	33586.13587	32287.91328	37674.03536	30789.28787	22849.60397	11187.12945	15447.01155	12565.87874	17485.03865	14228.56934	17826.58692	21939.8147	22898.45025	16435.45849	16729.0021	21137.39128	22010.02874	12950.66169	15144.42781	15864.58757	13029.25485	9004.131552	6827.68913	6551.662565	10282.91881	7628.797189	19761.62325	21293.71466	20544.65614	31141.70116	21477.48413	22568.23838	1.3690321	0.453156275	0.023024779	0.139249969
HOOK2	15574.2	13965.11604	13360.16286	13622.26066	15856.96102	15249.16718	12887.21761	13177.15791	14967.5358	31018.12409	18505.49393	17508.10051	18569.77785	13278.9407	15531.61561	11930.26531	11897.13789	11651.25982	11597.96557	15784.18316	16114.04396	13189.87953	11156.73283	12962.33175	10055.68835	11001.47959	9620.419759	26626.78244	15022.9245	20516.65495	12708.05503	13580.655	9951.269334	12221.83689	12380.68269	12734.09489	1.126705343	0.17211027	0.023070824	0.139373414
MLPH	8590.86	9888.666583	11947.90881	7602.836503	10801.451	10567.70155	11114.48545	11056.05053	10046.581	0	0	0	14757.54695	6211.619807	9631.710655	13169.11281	11615.61386	14369.20147	10228.55774	8742.211951	11807.27555	5202.287187	6895.512179	7350.471478	7186.064744	8778.882067	7875.183125	0	0	3761.89373	8550.549052	8013.558295	8656.881542	11215.76096	10821.23409	10724.88945	1.188203413	0.248781838	0.023128082	0.139564244
CRTC1	0	12939.6276	6557.537516	13229.26322	10122.29871	10411.09179	14964.21334	11214.87989	10915.73216	0	6386.002723	0	12700.26402	11964.08723	11980.94853	10481.10455	8744.06875	7074.276088	0	0	7972.986369	9911.080171	9451.914749	9101.969212	12044.38734	13775.20846	8220.780274	0	0	0	11809.40829	8657.331493	9132.669517	6458.102183	9546.385662	6681.225784	1.300756836	0.379351289	0.023183343	0.139742613
PTGFRN	9023.85	11216.26741	9674.411462	9194.907919	8380.681291	0	7300.711511	8196.11634	6935.332454	15937.73268	15060.68512	15804.53568	6731.212385	2827.089163	0	7758.939418	7357.626307	8164.99882	7094.582714	7080.981762	6859.820634	0	0	6856.982087	0	0	0	13318.75212	7960.136727	6684.702595	0	8182.297821	5168.627082	9317.838856	6204.668626	9067.179978	1.594568931	0.673166465	0.023208712	0.139740607
PRKAA1	12330.8	15508.86312	13674.79335	10036.70313	7692.265207	9889.662404	10001.93917	11856.49385	6456.718524	0	9960.277959	0	13679.72391	11350.82671	14610.81373	10857.86647	11483.30602	13570.96012	13028.15504	8735.727022	16974.35457	13412.25264	12939.35012	13975.41802	11917.3718	13906.51498	14944.75637	0	9173.73337	9072.210086	14478.91162	15448.19251	15039.73586	14027.84141	13782.13354	11071.00544	0.824421841	-0.278545369	0.023234519	0.139741241
CAPG	14109	16843.75089	15652.79327	10366.39263	9616.587912	9574.229957	7592.578345	8900.558115	7786.526557	6182.914529	8645.576199	5392.859625	22584.77297	24117.17501	20328.91319	31203.62336	33640.64215	33514.67383	17343.33732	19822.45407	23812.0552	14604.15894	14775.3443	14709.92785	12513.12994	8657.221235	13294.44334	6796.501407	5746.742954	4387.712308	20687.63994	21415.58791	21150.28589	30286.25905	34362.36238	35598.82076	0.894018021	-0.161624182	0.023246253	0.139657324
NUP88	21543.8	22564.58591	27755.41585	30527.0229	25773.62655	34332.66884	26871.36826	25960.07068	32509.48913	9624.923631	0	0	28789.3363	29339.47166	21167.50248	24902.57956	28937.90158	28136.10622	30594.25349	26878.90978	25976.55043	29446.06605	29840.23405	36301.99774	29443.75016	34767.20455	28143.10637	27714.72042	16835.08868	23136.57872	31277.63396	30449.06313	27092.14262	22273.41512	24568.65111	27405.41252	0.8338947	-0.262062877	0.023269951	0.13964539
GSN2	136419	138068.7137	141791.8382	226769.7685	242344.463	217792.2276	189470.7728	197239.1259	199342.7764	166685.489	221078.3893	148834.4487	202038.577	214212.7381	143016.5686	177975.2743	112535.6381	110531.4125	161386.064	155362.2998	154393.3278	135533.4142	140252.8582	133442.4565	115957.4634	110447.4493	121895.3385	85072.6235	142510.8538	149519.6681	111352.1589	164021.5143	114268.8787	196768.7663	179502.6483	188747.658	1.244377097	0.315423747	0.023270118	0.139492429
TPD523	166958	171948.0392	189263.2473	632413.8225	671008.2469	636794.8114	612602.1336	632512.0358	659347.1914	80727.7515	72098.54855	61867.251	393330.7599	426013.4063	348026.0173	328779.4452	310682.4802	311996.5605	236704.5058	209839.0714	229779.3486	428475.7876	420996.4034	416657.366	379738.9343	383557.4594	383277.985	69673.19203	56272.38115	60752.75779	334830.922	364123.7865	281440.8067	366603.8635	370003.875	372687.5553	1.249925401	0.321841994	0.02337941	0.139993229
STRN	9239.64	7535.203128	8350.548454	6856.636508	6519.618755	6536.959419	7242.390799	7273.776994	6100.054309	9021.228082	4569.59481	6771.456933	9138.914052	5021.544144	7110.274388	7536.27469	6187.018953	6836.196399	7759.190918	8096.277095	6802.927664	4306.463843	3598.126772	5909.688462	6884.043862	4067.017171	7858.303929	3897.902911	6050.19235	6808.420999	5855.45897	4965.743761	7674.857496	5719.29186	5981.279145	6377.540023	1.177093459	0.235228873	0.023448965	0.14025525
BZW1	26172.1	29669.54474	25888.24833	22538.5699	22473.05066	19670.3849	21377.77467	21155.87948	24603.91397	18203.95217	18258.65267	14019.4002	25059.98953	27465.76691	24447.98293	24488.9959	30821.28044	26808.8465	26457.77465	28389.06805	24469.98646	31503.27168	32090.85822	31214.38286	26636.04388	27286.29337	29284.09186	14371.27566	13581.64807	18889.61491	30829.13999	29124.5677	28796.15313	26809.61763	26340.26813	27948.11725	0.892625614	-0.163872889	0.023489708	0.14034455
KMT2A	0	5138.599047	0	12479.19428	14921.54889	12111.32431	14805.21928	10376.41763	10991.32149	0	0	0	0	3935.484868	6296.994906	5430.519466	6256.75533	6803.542532	5416.546185	0	0	5736.875759	6754.205919	0	6208.32115	0	0	2009.1032	0	0	5149.563042	3841.62259	6903.710477	4322.18718	0	5637.016526	2.107516528	1.075543946	0.023506225	0.140289071
DNM1L2	10781.4	11503.80594	10740.43454	19405.75969	17792.28448	19058.14536	18237.04121	20479.37769	20191.24925	6430.740273	7694.917791	8587.363562	14490.78081	14657.34506	14204.23129	18309.35175	18118.98805	16157.98632	13375.22184	13727.06936	14609.86093	20033.47697	21330.44705	19259.78656	19966.07091	19710.86739	18878.24292	8369.828346	6747.629794	5622.666118	15134.44269	18269.37511	19680.36335	17843.00859	18575.48452	18391.95753	0.921649135	-0.117710463	0.023603673	0.140716197
MOB1A	10492.4	11676.32906	18860.45357	15046.05594	17701.03606	12827.75521	5775.272905	12587.04722	12177.08323	0	2621.535347	0	9704.579034	13493.27349	12075.45654	5957.243794	10339.47727	9358.825495	17079.89023	15973.57002	13306.12982	13634.9649	15803.95425	20723.67838	11786.26966	10870.06518	13701.99282	14648.09309	7825.584619	17309.46477	9565.652858	10999.0344	11376.80054	8319.983197	16389.31148	13803.67458	0.743234721	-0.428110195	0.023614296	0.140625331
SEZ6L2; SEZ6L	0	4950.793061	3308.057372	16853.75203	19346.75	18591.01305	14853.40971	14920.63559	15128.64473	0	0	0	2383.484132	8064.23271	2864.249235	3154.624956	3032.428062	5326.458556	7402.390957	2566.775388	6140.33657	3189.386603	0	0	0	0	0	0	0	0	4045.96306	1033.81571	2894.714404	5960.647597	2194.320132	6776.985254	3.146012964	1.653524616	0.023649862	0.140683041
VIL1	21265	19910.9598	23110.4685	28505.61359	29886.05864	29337.93759	24990.79716	25228.94594	25623.77364	5688.718035	13756.60668	4169.290982	22421.859	21319.72457	22021.51314	18468.29223	20342.54177	19531.36222	22675.10614	21634.1952	20833.28074	36610.84397	37886.81563	36367.21071	35212.57543	33548.22257	33795.45034	0	9600.961431	13965.3088	21248.20558	25688.68364	23834.17533	19177.46839	17747.4473	19677.80623	0.874449774	-0.193552573	0.023671153	0.140655804
NFKB2	15584.7	21404.28917	22519.29695	14240.25575	10564.07772	8232.30509	11520.37242	14204.02364	12373.96866	0	0	0	17942.71274	18871.9692	20326.62082	17135.32828	17330.84757	18742.65562	22379.51492	24053.25333	14966.77419	18910.98455	14323.91813	16381.9438	16351.31888	12059.5922	11443.96318	6735.443995	0	0	26937.0085	19816.06692	26154.95767	19931.91858	16600.2976	18344.57515	0.844430885	-0.243948748	0.023672255	0.140508791
GPD1L	21572.9	13628.43993	18453.34823	12665.84791	16563.55731	17221.3115	15765.70819	13545.91995	16741.91275	11946.19471	11175.91502	9758.26671	12405.06478	19487.76295	17761.56708	16359.87214	16697.94689	19204.82355	18426.45998	16444.23227	14500.90489	19927.66039	23685.85055	20921.43532	24369.31337	22418.67326	20780.21338	4735.519307	9744.942234	22949.33436	21382.87818	23300.49106	19995.2575	18337.61277	15425.74013	19569.45781	0.833906312	-0.262042787	0.023736926	0.140739001
ACTN22; ACTN12	20121.9	13696.6811	11774.54299	23803.92262	22018.77711	22821.4822	21864.02862	20514.57406	21265.34702	13899.46251	14211.07789	14090.57459	17499.41987	18993.6741	26224.46265	21724.08709	25661.16899	24267.8871	10766.11792	13223.19709	12733.45865	33862.89117	35228.40466	35151.23965	28075.40615	26849.10847	26811.02739	17396.44828	12746.66761	18119.04446	26006.6375	19438.626	25729.78809	23189.7086	24267.91797	24113.24624	0.856769191	-0.223021492	0.02380622	0.140996096
PGM1	51740.3	59287.884	52334.4872	55055.45178	54802.89955	54662.54821	53134.69017	54637.11883	54466.17121	36109.58769	43543.90344	35483.49954	42473.89054	45150.20469	51518.53715	69087.08282	63474.68629	62723.49387	54865.32745	51832.19949	49468.54015	66301.4413	65868.28227	60666.90079	72359.32153	60314.14506	64965.77041	43697.19047	46333.30055	37746.20988	67796.61362	59207.17419	82088.03003	58611.07572	57741.73106	57340.91579	0.888841024	-0.17000269	0.023849404	0.14109816
TBC1D23	12579.7	13284.77231	14672.97208	11838.16975	10965.24655	10406.66596	12319.80688	12345.58636	12146.35213	0	3213.557071	0	13551.72007	14294.21288	10222.14087	12249.09802	12903.81879	12180.38532	15445.37193	17749.74502	26128.02314	14310.56313	9571.165745	13837.18882	13767.27041	11566.51842	13864.00686	0	10373.10969	0	10853.11878	12802.75846	11148.33567	15313.08633	13390.36359	14391.72949	0.84260042	-0.24707946	0.023856298	0.140985532
DAP	100863	85865.40485	100141.8294	86976.56198	88417.29001	86633.85343	74939.99744	81643.13899	75603.6631	18235.94505	25327.91683	25059.60566	65644.12189	62587.4879	64787.58718	65356.58148	67936.16584	68332.39553	89926.15539	99668.20156	92870.34858	83349.2173	71783.15413	80870.43606	79617.10035	71486.74392	76242.8001	18459.04381	22151.32671	16276.70493	56591.10671	52148.98708	47123.74207	67926.77944	73210.3563	59642.43736	1.073324102	0.102085779	0.023934588	0.141294634
THTPA	7982.47	8612.0743	8687.109818	13619.49713	13707.75959	13354.35958	12417.56132	14303.09915	15098.71631	13180.98397	8126.812261	7531.272437	12659.86487	11507.00548	10045.77454	11277.47781	10826.83932	9951.866007	8084.993137	12805.82794	7892.680887	12891.19638	12540.76236	12979.1645	11686.31395	10486.44946	15693.49735	10060.62399	7028.342124	0	9028.849319	10008.18921	9872.275055	9318.938451	8009.260959	9501.953425	1.140543713	0.189721742	0.023974867	0.141378906
EEFSEC	5542.95	10314.85382	0	0	7077.241573	0	0	0	0	0	0	0	0	13389.74172	0	4253.979177	7401.418934	0	8431.273196	6699.459237	9168.838521	7981.170995	3930.447776	7103.944159	7230.078393	7160.52111	0	0	0	0	13599.44458	8030.317174	7054.826344	4522.783177	7502.475094	3480.915008	0.470871793	-1.086593791	0.02402044	0.141494184
DCXR	313278	346228.8823	330642.7772	247713.8949	251043.1705	288215.9099	249160.5049	195475.8789	246745.4963	91058.90108	108036.6665	102838.5538	224850.9246	189965.3774	111656.997	235883.3315	239859.742	242902.7771	332279.3757	353812.3545	351892.8882	324340.2806	332906.6011	357415.0063	277414.1048	294197.8156	280563.0532	79783.44497	71824.00811	78004.22094	168085.7138	188960.0237	176897.8251	265307.6891	240218.9289	294968.6864	0.898561822	-0.154310329	0.024020507	0.141341445
YIPF6	4068.71	0	6326.320919	6817.831898	5023.665709	8673.032265	10145.99534	9796.591596	5291.941079	0	0	0	0	0	6876.650997	7446.314164	4559.516275	6826.75806	9930.291588	12569.54315	10709.18906	7990.486472	5282.572338	8734.636261	10721.80206	7151.565941	3483.21434	0	0	0	5755.164686	5597.852696	8392.053901	9515.637826	6072.810362	7640.841985	0.684692	-0.546472938	0.024037022	0.141285716
ERP44	94961.3	87219.49468	88437.08432	97189.08339	103850.548	101569.4092	99969.48429	99295.95049	98716.77477	68584.23897	66328.87165	83954.94819	62382.0001	68957.44523	61372.48231	91111.17933	84924.83067	89651.14988	109266.026	111410.2992	100355.5497	60174.14077	62858.17621	59320.05789	54671.24684	58664.4518	58330.9567	65245.4128	52969.78768	59945.14826	56822.29986	55875.17008	59614.23073	92346.5397	89530.23475	99785.58134	1.184588186	0.244385603	0.024061533	0.141277056
TRIM28	48159.7	43860.85119	46288.86969	56192.76079	56431.01227	54826.09638	53777.53436	51736.84594	50928.08146	21578.01042	26711.79978	27017.03471	52298.23989	59693.77494	52749.22529	52473.94224	57046.65994	55063.97649	44369.02925	46228.56988	53912.72243	66311.72903	66551.03068	67363.3252	62623.74549	64241.04081	63526.55665	23217.16825	18960.56374	21465.56463	53771.6907	55872.34555	55695.75631	54052.24078	57449.70392	59396.75491	0.927086174	-0.109224649	0.024072148	0.141186912
STMN1	12436.4	20131.14341	15712.87248	43489.49003	49269.28485	48209.7141	50250.7052	48727.21288	52328.29581	12497.47638	10171.27628	12441.12363	38940.50162	34639.52728	30744.80069	33450.46867	31476.69036	30146.76167	17104.72889	21109.90326	14577.20813	46662.5155	45280.37741	43441.09002	44847.09127	39658.02178	42198.97196	9018.659804	4851.534778	6735.454014	35855.25833	34102.43602	29432.50171	31390.65798	31711.54696	33948.99409	1.081095333	0.112493749	0.024104568	0.141224717
LIN7C	11746	13060.94523	7910.262104	15279.34419	13497.58714	13552.13877	17011.10435	15517.48844	13298.19499	14888.26391	13730.35065	8176.480288	15361.11907	15481.41389	14769.4038	16909.23729	14304.78128	13804.93665	13067.60466	12315.0826	10803.13389	12464.42542	12689.74197	13257.07208	11992.58709	12981.11151	10835.8858	8590.599991	0	8179.410676	15218.7297	12385.04183	14367.25359	12244.25582	15023.54448	12957.95792	1.185914762	0.246000319	0.02419639	0.141610087
CHGA1	12153.7	11665.00476	11742.14734	34714.46642	34867.20351	36427.44549	33165.19758	30572.85301	34030.56385	17308.49171	15472.23116	11393.856	28527.62005	26406.76908	28144.21527	23958.34829	27029.79426	22061.39415	12189.48519	13202.44083	13685.60526	16534.63337	19210.51659	17564.47231	18415.4872	17439.70695	16008.1238	13030.15696	12645.81149	16982.73281	33689.40358	27593.14927	27178.8843	26828.94061	24810.91434	21309.02221	1.262178311	0.335915738	0.024319657	0.142178469
RANGAP1	21407.1	22315.64844	23367.08132	33548.02516	30034.62682	28081.53262	28408.31076	26638.05803	31028.08963	14160.34067	9565.314672	17967.2242	30977.14801	29927.62022	29360.00302	27984.2061	23765.84862	22870.99151	31449.55737	29161.53756	32662.77834	38025.34948	35924.27854	31565.64109	27770.12704	28151.70799	29107.21014	13400.05912	14935.3613	10777.1898	30008.14512	29327.72465	25946.27782	30762.50107	33466.39687	31007.32908	0.896629083	-0.157416799	0.024360463	0.142264058
RPL9P7; UBE2Q2P6; RPL9	21892.4	22188.12708	21881.29896	17812.92831	21434.57876	18890.56323	18199.38171	20916.247	25056.28033	15282.6443	7543.470574	3604.68524	16187.54521	13156.24454	19377.68535	20822.78985	19236.94702	14960.57072	19434.8419	20559.35745	22338.8243	36631.30637	32278.87766	33250.47668	29233.89839	26232.71229	29501.53176	5217.480541	7617.202741	13109.07563	14161.77268	18789.29789	13709.03736	26390.4905	22883.9866	23918.58273	0.805660559	-0.311755965	0.024369503	0.142164148
ECI1	199753	190192.9495	213425.4946	183806.0406	188254.297	190897.2549	196885.9165	194858.7995	201186.6423	79032.21363	77078.73071	86822.0055	163196.1092	161571.2389	161612.8697	203385.6597	208425.0055	204339.5026	193750.4931	191459.1214	182497.4123	161318.2942	161245.7453	170932.668	165846.9614	170911.027	177193.2875	87228.35546	87963.53735	80065.87911	170645.4263	172408.2767	173307.3655	193498.806	202570.3207	201307.7323	1.054539674	0.076613374	0.024381252	0.142080244
VPS26A	40878.6	36955.4953	36253.97317	45960.20377	45836.93142	43029.76655	34829.65582	43350.05209	38680.70657	22605.18628	16976.25274	19858.27713	47701.29936	34309.98786	38554.99705	42794.22344	45378.10181	45175.89694	46432.77299	48581.65675	42796.14432	56807.90706	51530.67775	51373.88544	48516.62566	47334.43617	40351.88075	26845.68589	24878.69254	21380.68997	39985.01076	50693.2033	45823.97067	38378.20976	39926.03303	34756.95459	0.897851139	-0.155451824	0.024400736	0.142041543
DHX36	1314.75	0	1346.471246	1959.96676	0	720.2009223	0	0	0	0	0	0	0	2619.485937	3657.637229	0	573.4319013	0	3882.933504	3122.33636	0	2836.07677	2423.521285	1529.205115	1779.598267	0	368.1282513	0	0	0	0	2695.961761	2043.396419	3649.534036	1572.754809	1280.73611	0.448494043	-1.156839272	0.024474841	0.142320547
OSBPL9	0	1390.366945	3348.070909	3654.208298	2819.529948	3537.53893	1193.416904	2066.644415	3330.5975	0	0	0	3121.602996	0	0	4443.586822	1650.698821	938.1151827	7398.165015	3689.891085	10042.06286	2687.221319	2992.100613	4064.551592	3048.119107	2205.539548	1711.194009	0	0	3584.311049	2305.006071	2214.954731	1306.165082	3212.055412	3622.931546	3645.352189	0.545549702	-0.874217456	0.024530153	0.14248979
WDR45B	9889.65	7886.748519	7780.669683	5033.015562	9084.625818	5459.339465	6331.660511	8899.346811	5094.505236	0	0	0	11909.9556	11291.35101	6732.190238	7313.535938	0	7698.84558	19093.16992	9991.256447	10040.8157	11223.38676	10933.7458	7431.480478	8450.565265	10611.89736	9241.392183	0	0	0	8522.42228	6678.057653	6081.809687	10156.50948	5914.38268	10257.21573	0.763374713	-0.389536698	0.024706824	0.143362863
ICAM1	24778.8	25269.02361	25194.78505	5444.436552	6643.985261	5912.756318	3903.962142	6165.742478	4878.000059	10456.22814	12449.07351	13037.79783	23775.55995	23538.38836	25518.51801	22449.84129	20294.03594	22734.93373	22763.33394	22475.10428	20863.0991	5235.908825	5171.970685	3083.213453	8112.549282	9155.883911	4451.592574	8730.308317	8783.524528	6813.00754	21680.21538	23334.17619	19315.27775	22526.21519	20491.77159	21259.9285	1.110910958	0.151743186	0.024752405	0.143474228
ACAT2	18818.2	25863.20426	21037.44133	32665.30663	30643.49003	29877.45062	29567.74254	31589.31981	32991.89858	6471.114274	11427.93839	5290.514227	14783.12576	24280.29262	14828.48433	23581.14223	20099.80127	31949.79509	24293.66477	23077.70904	21579.64668	16408.46744	10971.80965	14660.76731	12267.16157	11684.66192	13016.33018	6163.484606	11146.9582	0	14346.20882	14457.09625	18648.83512	31379.44852	26476.44715	31953.58623	1.341232933	0.423559813	0.024938173	0.144397065
TRIM471	2032.91	0	345.4711503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4273.0802	3078.523819	4478.377021	0	0	0	0	0	0	0	0	0	0	0	0	2642.347834	0	2284.108816	0.141938352	-2.816663635	0.024954488	0.144337819
FBP1	31709.1	28278.13399	35166.36281	18675.61122	18071.58803	14435.92129	17386.21127	18690.19043	17685.05934	14017.13847	9245.751112	11572.19183	28883.85714	29767.14598	29461.28394	32654.49725	32600.35591	33756.57814	30550.30818	30864.11198	41654.7702	25505.64168	24272.45775	24084.20859	23304.37084	21983.64623	24917.1467	6029.778864	9657.379029	9106.412129	25413.62189	29806.95327	34902.32962	37033.18104	40236.54699	32173.38485	0.895143871	-0.159808519	0.025052978	0.144753499
SNRPB; SNRPN; SNURF	25584.1	25952.81387	27744.81364	53811.97703	54064.22736	52896.13573	51210.8507	46799.98268	52567.03517	14534.55533	18536.41386	23189.43412	37507.97841	33860.2855	35293.89752	41764.54712	38242.24965	34838.82672	34493.36022	32869.72782	37666.82011	52115.68749	53164.06864	55765.89532	50518.61158	53259.52153	57831.14011	15960.13297	14921.83653	10934.01484	36064.26523	49974.30806	57397.89245	43739.85572	52422.36578	43481.51611	0.888143743	-0.171134904	0.025079897	0.144755201
DAK	10111.8	7310.017133	8932.079842	10243.94508	10276.8652	11696.97922	11057.4811	8036.041389	9581.853402	3502.08936	2183.29279	4591.059227	12328.10878	9151.26122	11781.82525	13775.37083	11603.88369	14225.32305	8441.984163	9549.765156	8410.261797	14108.65241	13788.35439	14292.3419	13823.15725	15876.76015	11885.40223	3753.41851	2931.272936	4582.916134	10952.64588	11422.60932	13968.3252	12041.63144	13346.94108	12657.7269	0.870069198	-0.200797949	0.025182602	0.145193859
NAPRT1	12840.3	12992.01476	15232.63149	7060.585251	8038.928156	5918.196399	10777.71339	7184.049088	10059.73345	0	9359.152992	13777.35396	4172.55182	5612.314043	10033.67709	12024.27602	12012.64306	12907.16956	14685.71372	8197.623749	17079.22902	17832.80847	15992.42243	16664.75628	21777.20217	20779.87725	20544.07956	0	12906.25986	11146.55611	7091.274478	10365.57597	10200.99788	8776.218989	8554.836885	9661.716543	0.731961496	-0.450160336	0.025302651	0.145731478
USO1	35303.6	31640.66074	30068.46534	46335.58368	46503.46178	46565.58817	40112.63095	40128.32657	42989.02316	15581.982	14166.51173	11934.19491	38982.10835	36970.97461	36001.09254	45308.08454	45875.63001	44608.41815	32612.70322	34352.62245	35767.62889	48324.49164	47501.60952	44718.48389	41624.98295	43755.06574	43753.19164	15587.79403	13726.09258	13814.78829	46180.26146	42426.53571	42421.26037	44746.57219	45333.21067	43143.8498	0.954817288	-0.066703407	0.025369334	0.145960919
TMEM9B; TMEM9	17590.2	20070.97696	17572.38285	21761.55651	26014.83272	27600.80011	29611.6977	31743.58964	30407.39024	0	0	0	15945.58942	15843.88522	19361.22199	18788.81693	22959.42599	19327.81121	12859.56689	15113.36323	17357.57147	17168.51544	18746.4137	21184.18227	21029.57761	19124.35774	20903.19974	0	0	0	20850.61556	19428.16478	14867.91862	19490.79955	22759.09314	22719.90478	1.179817876	0.238564173	0.025534799	0.146757614
VCL	47779.3	53406.44098	51595.27734	45353.49311	46033.78716	44392.89851	40918.81893	41853.29187	41825.02546	102370.4284	97703.53562	93490.80603	53664.34601	53589.47572	52120.90851	57044.51225	54947.17123	58872.0945	54838.80292	56374.79145	55709.08	67682.25735	66092.42478	63992.65075	58732.98315	59532.67166	60206.25278	89622.89119	87237.06416	91072.00194	56642.21802	58185.94961	53969.14923	57129.29156	56598.4507	54984.2039	0.902802352	-0.147517918	0.02554441	0.146657824
PDHB	56258.1	61808.86818	60359.57716	110657.8528	108328.6686	110186.5193	109736.1146	105568.9048	109469.2193	29442.30427	36778.22466	25094.17101	65354.85078	59070.16124	62534.29525	85280.7178	87003.818	89668.07676	67405.25121	65710.73345	67102.86678	62268.87963	58527.78326	58781.63286	63090.50002	59179.64378	56891.087	21973.68292	24657.89106	24345.55001	70188.06312	72364.98656	71558.75709	77918.14685	88620.29665	94178.84462	1.24243703	0.313172734	0.02558635	0.146743655
