Protein	Donor	Type	Replicate	Value
KRT10	5	L	3	41400.56183
KRT10	6	L	1	16290.12441
KRT10	6	L	2	16258.93646
KRT10	6	L	3	17974.92841
RECQL	1	H	1	11454.9
RECQL	1	H	2	12483.11096
RECQL	1	H	3	12180.76482
RECQL	2	H	1	10699.43291
RECQL	2	H	2	12456.3361
RECQL	2	H	3	9350.979208
RECQL	3	H	1	10622.53107
RECQL	3	H	2	10673.6556
RECQL	3	H	3	12068.83637
RECQL	4	H	1	14506.05103
RECQL	4	H	2	12095.82623
RECQL	4	H	3	15897.74659
RECQL	5	H	1	17304.45005
RECQL	5	H	2	11676.1808
RECQL	5	H	3	13839.53665
RECQL	6	H	1	14314.26685
RECQL	6	H	2	15857.70756
RECQL	6	H	3	15862.62309
RECQL	1	L	1	14774.84066
RECQL	1	L	2	13528.59462
RECQL	1	L	3	14107.03047
RECQL	2	L	1	11965.75344
RECQL	2	L	2	13826.60895
RECQL	2	L	3	13097.99702
RECQL	3	L	1	11529.36691
RECQL	3	L	2	16298.73205
RECQL	3	L	3	15093.97982
RECQL	4	L	1	14574.82744
RECQL	4	L	2	12298.65005
RECQL	4	L	3	13845.20762
RECQL	5	L	1	11143.71717
RECQL	5	L	2	12816.14882
RECQL	5	L	3	13375.19125
RECQL	6	L	1	14951.18083
RECQL	6	L	2	14417.88642
RECQL	6	L	3	14153.10627
PSMA6	1	H	1	99187.6
PSMA6	1	H	2	103985.5511
PSMA6	1	H	3	113332.7495
PSMA6	2	H	1	136079.8241
PSMA6	2	H	2	145775.1454
PSMA6	2	H	3	149705.9358
PSMA6	3	H	1	152182.1463
PSMA6	3	H	2	153637.8997
PSMA6	3	H	3	136340.5838
PSMA6	4	H	1	46334.12267
PSMA6	4	H	2	41242.26849
PSMA6	4	H	3	49059.50373
PSMA6	5	H	1	138043.2456
PSMA6	5	H	2	135032.9625
PSMA6	5	H	3	112452.0313
PSMA6	6	H	1	124602.7843
PSMA6	6	H	2	128535.1645
PSMA6	6	H	3	128606.7422
PSMA6	1	L	1	119160.3521
PSMA6	1	L	2	134874.1869
PSMA6	1	L	3	138942.2038
PSMA6	2	L	1	124375.1906
PSMA6	2	L	2	132811.7306
PSMA6	2	L	3	119638.4873
PSMA6	3	L	1	106696.5942
PSMA6	3	L	2	108682.3099
PSMA6	3	L	3	113394.521
PSMA6	4	L	1	42278.58238
PSMA6	4	L	2	43122.59821
PSMA6	4	L	3	44008.96644
PSMA6	5	L	1	118236.1164
PSMA6	5	L	2	133747.7813
PSMA6	5	L	3	106983.8277
PSMA6	6	L	1	135096.4398
PSMA6	6	L	2	135289.072
PSMA6	6	L	3	133814.0452
NSUN6	1	H	1	10896.1
NSUN6	1	H	2	8584.531654
NSUN6	1	H	3	6918.356352
NSUN6	2	H	1	0
NSUN6	2	H	2	4832.264036
NSUN6	2	H	3	6322.629479
NSUN6	3	H	1	4090.348041
NSUN6	3	H	2	7843.981158
NSUN6	3	H	3	6806.376508
NSUN6	4	H	1	0
NSUN6	4	H	2	8142.65225
NSUN6	4	H	3	9604.455385
NSUN6	5	H	1	9016.234561
NSUN6	5	H	2	11749.97472
NSUN6	5	H	3	7923.970663
NSUN6	6	H	1	6233.586626
NSUN6	6	H	2	4358.919836
NSUN6	6	H	3	5206.309894
NSUN6	1	L	1	8082.565467
NSUN6	1	L	2	7288.98194
NSUN6	1	L	3	9604.515322
NSUN6	2	L	1	7319.930366
NSUN6	2	L	2	5753.798877
NSUN6	2	L	3	0
NSUN6	3	L	1	7026.378589
NSUN6	3	L	2	11390.54394
NSUN6	3	L	3	0
NSUN6	4	L	1	0
NSUN6	4	L	2	0
NSUN6	4	L	3	0
NSUN6	5	L	1	6075.01989
NSUN6	5	L	2	5963.985037
NSUN6	5	L	3	5815.690813
NSUN6	6	L	1	6367.753917
NSUN6	6	L	2	6470.233834
NSUN6	6	L	3	8961.623158
MCCC1	1	H	1	23320.5
MCCC1	1	H	2	23937.87779
MCCC1	1	H	3	20201.24086
MCCC1	2	H	1	19417.50471
MCCC1	2	H	2	18183.44841
MCCC1	2	H	3	19369.5669
MCCC1	3	H	1	17990.25131
MCCC1	3	H	2	17875.98852
MCCC1	3	H	3	21088.75787
MCCC1	4	H	1	7182.130641
MCCC1	4	H	2	11730.40098
MCCC1	4	H	3	10897.59011
MCCC1	5	H	1	13958.12676
MCCC1	5	H	2	13149.52599
MCCC1	5	H	3	10922.08367
MCCC1	6	H	1	17177.83931
MCCC1	6	H	2	16366.75458
MCCC1	6	H	3	15993.7528
MCCC1	1	L	1	22100.67012
MCCC1	1	L	2	20600.53338
MCCC1	1	L	3	23311.9458
MCCC1	2	L	1	15162.29622
MCCC1	2	L	2	15275.45807
MCCC1	2	L	3	16146.17383
MCCC1	3	L	1	14754.45733
MCCC1	3	L	2	14322.44484
MCCC1	3	L	3	12742.2619
MCCC1	4	L	1	11944.57453
MCCC1	4	L	2	10459.1272
MCCC1	4	L	3	10749.76512
MCCC1	5	L	1	13930.78687
MCCC1	5	L	2	17836.48971
MCCC1	5	L	3	16605.56366
MCCC1	6	L	1	14274.98336
MCCC1	6	L	2	15485.17738
MCCC1	6	L	3	15767.85072
GNB1	1	H	1	17168.4
GNB1	1	H	2	20512.32891
GNB1	1	H	3	11963.12495
GNB1	2	H	1	14346.19118
GNB1	2	H	2	19249.8275
GNB1	2	H	3	20242.1696
GNB1	3	H	1	23110.11158
GNB1	3	H	2	21665.42703
GNB1	3	H	3	16213.75066
GNB1	4	H	1	6609.551576
GNB1	4	H	2	6463.388925
GNB1	4	H	3	10240.67092
GNB1	5	H	1	22729.35364
GNB1	5	H	2	26653.48308
GNB1	5	H	3	19727.79221
GNB1	6	H	1	20635.40293
GNB1	6	H	2	18824.59463
GNB1	6	H	3	19529.21958
GNB1	1	L	1	15591.03209
GNB1	1	L	2	11161.58422
GNB1	1	L	3	20914.1191
GNB1	2	L	1	19292.30864
GNB1	2	L	2	14255.82279
GNB1	2	L	3	10897.75603
GNB1	3	L	1	17026.26846
GNB1	3	L	2	18662.89678
GNB1	3	L	3	14208.58732
GNB1	4	L	1	0
GNB1	4	L	2	4165.241742
GNB1	4	L	3	11156.95857
GNB1	5	L	1	15094.21715
GNB1	5	L	2	25330.8052
GNB1	5	L	3	20761.77066
GNB1	6	L	1	23206.78969
GNB1	6	L	2	26731.17823
GNB1	6	L	3	21474.05836
AP3S22	1	H	1	19375.4
AP3S22	1	H	2	20968.15625
AP3S22	1	H	3	19701.07164
AP3S22	2	H	1	19762.02517
AP3S22	2	H	2	18561.41142
AP3S22	2	H	3	18150.04384
AP3S22	3	H	1	18523.20761
AP3S22	3	H	2	10286.81542
AP3S22	3	H	3	16460.8608
AP3S22	4	H	1	9754.7671
AP3S22	4	H	2	11214.78085
AP3S22	4	H	3	7879.333869
AP3S22	5	H	1	8049.926353
AP3S22	5	H	2	10717.24532
AP3S22	5	H	3	15528.28126
AP3S22	6	H	1	14125.2937
AP3S22	6	H	2	15015.88308
AP3S22	6	H	3	16555.98211
AP3S22	1	L	1	17654.88822
AP3S22	1	L	2	16917.47504
AP3S22	1	L	3	15379.24256
AP3S22	2	L	1	12769.66558
AP3S22	2	L	2	18883.27749
AP3S22	2	L	3	16376.59299
AP3S22	3	L	1	22787.14145
AP3S22	3	L	2	16559.403
AP3S22	3	L	3	16976.49111
AP3S22	4	L	1	8145.807669
AP3S22	4	L	2	10122.39915
AP3S22	4	L	3	5241.967434
AP3S22	5	L	1	10685.78885
AP3S22	5	L	2	12006.65939
AP3S22	5	L	3	16313.37021
AP3S22	6	L	1	11303.83531
AP3S22	6	L	2	14560.83677
AP3S22	6	L	3	12438.99786
CSTF2T	1	H	1	11583.7
CSTF2T	1	H	2	12925.44762
CSTF2T	1	H	3	11536.48404
CSTF2T	2	H	1	25710.6453
CSTF2T	2	H	2	24415.55357
CSTF2T	2	H	3	18713.06909
CSTF2T	3	H	1	19766.88678
CSTF2T	3	H	2	22035.10326
CSTF2T	3	H	3	18186.38906
CSTF2T	4	H	1	11475.06543
CSTF2T	4	H	2	0
CSTF2T	4	H	3	0
CSTF2T	5	H	1	18460.76601
CSTF2T	5	H	2	12831.44115
CSTF2T	5	H	3	16406.57017
CSTF2T	6	H	1	15696.827
CSTF2T	6	H	2	15259.04629
CSTF2T	6	H	3	16646.18735
CSTF2T	1	L	1	12581.28405
CSTF2T	1	L	2	8007.945178
CSTF2T	1	L	3	13510.20983
CSTF2T	2	L	1	17776.73472
CSTF2T	2	L	2	16436.3323
CSTF2T	2	L	3	18834.50882
CSTF2T	3	L	1	20435.0344
CSTF2T	3	L	2	17570.15032
CSTF2T	3	L	3	16374.67783
CSTF2T	4	L	1	7119.414459
CSTF2T	4	L	2	0
CSTF2T	4	L	3	0
CSTF2T	5	L	1	18865.25735
CSTF2T	5	L	2	14542.04138
CSTF2T	5	L	3	24272.25723
CSTF2T	6	L	1	16180.69871
CSTF2T	6	L	2	16899.63349
CSTF2T	6	L	3	13788.80742
CSTF2	1	H	1	11583.7
CSTF2	1	H	2	12925.44762
CSTF2	1	H	3	11536.48404
CSTF2	2	H	1	25710.6453
CSTF2	2	H	2	24415.55357
CSTF2	2	H	3	18713.06909
CSTF2	3	H	1	19766.88678
CSTF2	3	H	2	22035.10326
CSTF2	3	H	3	18186.38906
CSTF2	4	H	1	11475.06543
CSTF2	4	H	2	0
CSTF2	4	H	3	0
CSTF2	5	H	1	18460.76601
CSTF2	5	H	2	12831.44115
CSTF2	5	H	3	16406.57017
CSTF2	6	H	1	15696.827
CSTF2	6	H	2	15259.04629
CSTF2	6	H	3	16646.18735
CSTF2	1	L	1	12581.28405
CSTF2	1	L	2	8007.945178
CSTF2	1	L	3	13510.20983
CSTF2	2	L	1	17776.73472
CSTF2	2	L	2	16436.3323
CSTF2	2	L	3	18834.50882
CSTF2	3	L	1	20435.0344
CSTF2	3	L	2	17570.15032
CSTF2	3	L	3	16374.67783
CSTF2	4	L	1	7119.414459
CSTF2	4	L	2	0
CSTF2	4	L	3	0
CSTF2	5	L	1	18865.25735
CSTF2	5	L	2	14542.04138
CSTF2	5	L	3	24272.25723
CSTF2	6	L	1	16180.69871
CSTF2	6	L	2	16899.63349
CSTF2	6	L	3	13788.80742
VPS33A	1	H	1	5943.08
VPS33A	1	H	2	4882.906396
VPS33A	1	H	3	9238.405265
VPS33A	2	H	1	6057.146384
VPS33A	2	H	2	6119.28367
VPS33A	2	H	3	4834.75602
VPS33A	3	H	1	5320.23399
VPS33A	3	H	2	4934.977737
VPS33A	3	H	3	5776.758563
VPS33A	4	H	1	6728.733586
VPS33A	4	H	2	6529.348572
VPS33A	4	H	3	5927.467271
VPS33A	5	H	1	8512.002638
VPS33A	5	H	2	6713.572664
VPS33A	5	H	3	7564.225444
VPS33A	6	H	1	5499.446551
VPS33A	6	H	2	6365.211829
VPS33A	6	H	3	5040.726504
VPS33A	1	L	1	6481.270264
VPS33A	1	L	2	7316.671915
VPS33A	1	L	3	8528.288068
VPS33A	2	L	1	5542.437777
VPS33A	2	L	2	4528.161143
VPS33A	2	L	3	5437.747219
VPS33A	3	L	1	5655.880833
VPS33A	3	L	2	6137.808393
VPS33A	3	L	3	3284.096684
VPS33A	4	L	1	6104.027341
VPS33A	4	L	2	3842.131199
VPS33A	4	L	3	5860.740707
VPS33A	5	L	1	5545.432066
VPS33A	5	L	2	6430.063902
VPS33A	5	L	3	4972.713774
VPS33A	6	L	1	7274.086985
VPS33A	6	L	2	5904.128948
VPS33A	6	L	3	5698.549446
NUP205	1	H	1	8557.35
NUP205	1	H	2	7732.452588
NUP205	1	H	3	7371.002133
NUP205	2	H	1	7222.228907
NUP205	2	H	2	7480.413697
NUP205	2	H	3	7691.30525
NUP205	3	H	1	7738.443082
NUP205	3	H	2	8367.150163
NUP205	3	H	3	6991.256174
NUP205	4	H	1	0
NUP205	4	H	2	0
NUP205	4	H	3	0
NUP205	5	H	1	5828.170568
NUP205	5	H	2	12302.43786
NUP205	5	H	3	14137.85687
NUP205	6	H	1	7848.138553
NUP205	6	H	2	7617.074372
NUP205	6	H	3	9691.534978
NUP205	1	L	1	9477.328948
NUP205	1	L	2	6399.570528
NUP205	1	L	3	7936.456048
NUP205	2	L	1	9598.71774
NUP205	2	L	2	9123.138742
NUP205	2	L	3	11297.56169
NUP205	3	L	1	7536.782283
NUP205	3	L	2	6753.837735
NUP205	3	L	3	6329.632617
NUP205	4	L	1	7180.618078
NUP205	4	L	2	0
NUP205	4	L	3	0
NUP205	5	L	1	9193.473356
NUP205	5	L	2	8633.992504
NUP205	5	L	3	9887.634475
NUP205	6	L	1	11417.21101
NUP205	6	L	2	10481.99033
NUP205	6	L	3	8680.270222
CRABP2	1	H	1	7914.82
CRABP2	1	H	2	7018.953305
CRABP2	1	H	3	4639.047423
CRABP2	2	H	1	5753.986803
CRABP2	2	H	2	6870.774647
CRABP2	2	H	3	11403.4915
CRABP2	3	H	1	9782.106143
CRABP2	3	H	2	6686.397456
CRABP2	3	H	3	5408.788056
CRABP2	4	H	1	0
CRABP2	4	H	2	7431.053296
CRABP2	4	H	3	0
CRABP2	5	H	1	8406.240291
CRABP2	5	H	2	1379.527787
CRABP2	5	H	3	9577.256535
CRABP2	6	H	1	8470.322346
CRABP2	6	H	2	8002.320563
CRABP2	6	H	3	7257.193454
CRABP2	1	L	1	0
CRABP2	1	L	2	7806.598222
CRABP2	1	L	3	10283.14937
CRABP2	2	L	1	10601.69169
CRABP2	2	L	2	4883.614371
CRABP2	2	L	3	5417.001691
CRABP2	3	L	1	7816.094994
CRABP2	3	L	2	11061.36055
CRABP2	3	L	3	17496.75076
CRABP2	4	L	1	0
CRABP2	4	L	2	0
CRABP2	4	L	3	0
CRABP2	5	L	1	12596.39807
CRABP2	5	L	2	15123.99921
CRABP2	5	L	3	14098.28151
CRABP2	6	L	1	7506.742044
CRABP2	6	L	2	10898.51326
CRABP2	6	L	3	8105.841754
RAP1GAP21	1	H	1	16652.5
RAP1GAP21	1	H	2	17776.97096
RAP1GAP21	1	H	3	12769.973
RAP1GAP21	2	H	1	30278.18978
RAP1GAP21	2	H	2	29298.84956
RAP1GAP21	2	H	3	33511.35504
RAP1GAP21	3	H	1	28762.4703
RAP1GAP21	3	H	2	31372.42785
RAP1GAP21	3	H	3	29460.00092
RAP1GAP21	4	H	1	8214.105426
RAP1GAP21	4	H	2	4821.851375
RAP1GAP21	4	H	3	0
RAP1GAP21	5	H	1	20462.60988
RAP1GAP21	5	H	2	16851.55773
RAP1GAP21	5	H	3	16908.39
RAP1GAP21	6	H	1	20594.79538
RAP1GAP21	6	H	2	24075.06007
RAP1GAP21	6	H	3	22141.42183
RAP1GAP21	1	L	1	11771.38658
RAP1GAP21	1	L	2	9958.977656
RAP1GAP21	1	L	3	14231.06577
RAP1GAP21	2	L	1	25274.45052
RAP1GAP21	2	L	2	27252.72301
RAP1GAP21	2	L	3	24583.61731
RAP1GAP21	3	L	1	26443.75338
RAP1GAP21	3	L	2	28987.77556
RAP1GAP21	3	L	3	24365.07458
RAP1GAP21	4	L	1	20183.22325
RAP1GAP21	4	L	2	8697.197874
RAP1GAP21	4	L	3	0
RAP1GAP21	5	L	1	18175.20282
RAP1GAP21	5	L	2	21504.82214
RAP1GAP21	5	L	3	19872.9028
RAP1GAP21	6	L	1	19440.30359
RAP1GAP21	6	L	2	20399.44501
RAP1GAP21	6	L	3	19201.62935
ATP2A2	1	H	1	27902
ATP2A2	1	H	2	24705.36932
ATP2A2	1	H	3	30074.45363
ATP2A2	2	H	1	17184.80026
ATP2A2	2	H	2	16557.53584
ATP2A2	2	H	3	18411.67482
ATP2A2	3	H	1	21762.49678
ATP2A2	3	H	2	23967.01869
ATP2A2	3	H	3	25629.96573
ATP2A2	4	H	1	829.6580704
ATP2A2	4	H	2	0
ATP2A2	4	H	3	19686.33899
ATP2A2	5	H	1	20003.83799
ATP2A2	5	H	2	22422.22777
ATP2A2	5	H	3	26051.59739
ATP2A2	6	H	1	28229.64912
ATP2A2	6	H	2	28964.32088
ATP2A2	6	H	3	24630.2079
ATP2A2	1	L	1	26697.39461
ATP2A2	1	L	2	25637.12437
ATP2A2	1	L	3	25845.59909
ATP2A2	2	L	1	18874.92099
ATP2A2	2	L	2	16214.32128
ATP2A2	2	L	3	24612.93528
ATP2A2	3	L	1	22049.12589
ATP2A2	3	L	2	19009.77473
ATP2A2	3	L	3	14347.75323
ATP2A2	4	L	1	9819.789583
ATP2A2	4	L	2	35018.01697
ATP2A2	4	L	3	10992.41049
ATP2A2	5	L	1	28661.52278
ATP2A2	5	L	2	25768.39816
ATP2A2	5	L	3	26042.70374
ATP2A2	6	L	1	30851.64298
ATP2A2	6	L	2	32476.60004
ATP2A2	6	L	3	30400.3426
OCLN	1	H	1	33105.6
OCLN	1	H	2	34765.27889
OCLN	1	H	3	37163.99646
OCLN	2	H	1	15763.88366
OCLN	2	H	2	14524.82668
OCLN	2	H	3	18167.21697
OCLN	3	H	1	19614.18839
OCLN	3	H	2	18446.55836
OCLN	3	H	3	15835.34534
OCLN	4	H	1	0
OCLN	4	H	2	0
OCLN	4	H	3	0
OCLN	5	H	1	25070.41866
OCLN	5	H	2	14587.40604
OCLN	5	H	3	17084.17282
OCLN	6	H	1	14747.20254
OCLN	6	H	2	16177.38106
OCLN	6	H	3	16745.71308
OCLN	1	L	1	35409.9178
OCLN	1	L	2	36883.20341
OCLN	1	L	3	27842.18182
OCLN	2	L	1	15101.02209
OCLN	2	L	2	14495.33443
OCLN	2	L	3	15606.07668
OCLN	3	L	1	14338.72992
OCLN	3	L	2	18275.34294
OCLN	3	L	3	12537.61259
OCLN	4	L	1	0
OCLN	4	L	2	0
OCLN	4	L	3	0
OCLN	5	L	1	17440.87946
OCLN	5	L	2	16300.78218
OCLN	5	L	3	19847.18228
OCLN	6	L	1	14010.86708
OCLN	6	L	2	19088.81601
OCLN	6	L	3	18064.23831
PTK7	1	H	1	3302.36
PTK7	1	H	2	4375.903104
PTK7	1	H	3	1379.495176
PTK7	2	H	1	4836.355639
PTK7	2	H	2	3441.455112
PTK7	2	H	3	6295.325348
PTK7	3	H	1	4515.877476
PTK7	3	H	2	4881.051859
PTK7	3	H	3	4755.752206
PTK7	4	H	1	3190.890473
PTK7	4	H	2	0
PTK7	4	H	3	0
PTK7	5	H	1	2530.952017
PTK7	5	H	2	5209.344165
PTK7	5	H	3	1109.213558
PTK7	6	H	1	2551.370202
PTK7	6	H	2	1863.226215
PTK7	6	H	3	2060.600442
PTK7	1	L	1	0
PTK7	1	L	2	3220.40689
PTK7	1	L	3	0
PTK7	2	L	1	3132.724985
PTK7	2	L	2	4758.473744
PTK7	2	L	3	3255.92192
PTK7	3	L	1	2678.514908
PTK7	3	L	2	3191.341862
PTK7	3	L	3	6973.534559
PTK7	4	L	1	0
PTK7	4	L	2	0
PTK7	4	L	3	0
PTK7	5	L	1	2676.480589
PTK7	5	L	2	3151.924624
PTK7	5	L	3	2633.552197
PTK7	6	L	1	3470.780477
PTK7	6	L	2	4313.661193
PTK7	6	L	3	3833.341515
BLOC1S3	1	H	1	7581.24
BLOC1S3	1	H	2	3808.920456
BLOC1S3	1	H	3	0
BLOC1S3	2	H	1	6109.123835
BLOC1S3	2	H	2	7006.431407
BLOC1S3	2	H	3	3986.495379
BLOC1S3	3	H	1	2691.990209
BLOC1S3	3	H	2	3771.543208
BLOC1S3	3	H	3	5326.903437
BLOC1S3	4	H	1	0
BLOC1S3	4	H	2	3904.703957
BLOC1S3	4	H	3	0
BLOC1S3	5	H	1	0
BLOC1S3	5	H	2	4085.099289
BLOC1S3	5	H	3	0
BLOC1S3	6	H	1	0
BLOC1S3	6	H	2	3656.68435
BLOC1S3	6	H	3	5620.139811
BLOC1S3	1	L	1	0
BLOC1S3	1	L	2	0
BLOC1S3	1	L	3	0
BLOC1S3	2	L	1	5232.528573
BLOC1S3	2	L	2	3853.93867
BLOC1S3	2	L	3	5711.55251
BLOC1S3	3	L	1	8041.762965
BLOC1S3	3	L	2	1085.183116
BLOC1S3	3	L	3	5095.625701
BLOC1S3	4	L	1	0
BLOC1S3	4	L	2	0
BLOC1S3	4	L	3	0
BLOC1S3	5	L	1	0
BLOC1S3	5	L	2	0
BLOC1S3	5	L	3	0
BLOC1S3	6	L	1	5180.831993
BLOC1S3	6	L	2	0
BLOC1S3	6	L	3	7729.456662
CGN	1	H	1	43567.8
CGN	1	H	2	42691.00266
CGN	1	H	3	47120.35807
CGN	2	H	1	23209.07212
CGN	2	H	2	25368.45113
CGN	2	H	3	27259.06626
CGN	3	H	1	24050.22544
CGN	3	H	2	26387.22671
CGN	3	H	3	26114.55388
CGN	4	H	1	0
CGN	4	H	2	69481.49572
CGN	4	H	3	26732.24828
CGN	5	H	1	32119.19254
CGN	5	H	2	34073.40675
CGN	5	H	3	30345.40796
CGN	6	H	1	29449.46183
CGN	6	H	2	27117.61201
CGN	6	H	3	30678.6726
CGN	1	L	1	48269.70947
CGN	1	L	2	47071.49848
CGN	1	L	3	42523.35738
CGN	2	L	1	23476.69903
CGN	2	L	2	24909.43532
CGN	2	L	3	25016.36389
CGN	3	L	1	25617.60008
CGN	3	L	2	23126.02375
CGN	3	L	3	24753.49285
CGN	4	L	1	28446.07726
CGN	4	L	2	12592.17613
CGN	4	L	3	0
CGN	5	L	1	26775.48431
CGN	5	L	2	28798.59599
CGN	5	L	3	24970.56415
CGN	6	L	1	29423.98451
CGN	6	L	2	24813.38641
CGN	6	L	3	27179.7312
DDX49	1	H	1	0
DDX49	1	H	2	0
DDX49	1	H	3	7713.797206
DDX49	2	H	1	4021.746685
DDX49	2	H	2	0
DDX49	2	H	3	4907.736079
DDX49	3	H	1	0
DDX49	3	H	2	0
DDX49	3	H	3	0
DDX49	4	H	1	0
DDX49	4	H	2	0
DDX49	4	H	3	0
DDX49	5	H	1	0
DDX49	5	H	2	0
DDX49	5	H	3	0
DDX49	6	H	1	0
DDX49	6	H	2	0
DDX49	6	H	3	6328.883002
DDX49	1	L	1	0
DDX49	1	L	2	0
DDX49	1	L	3	3459.167454
DDX49	2	L	1	0
DDX49	2	L	2	5106.691141
DDX49	2	L	3	5813.708348
DDX49	3	L	1	9466.888451
DDX49	3	L	2	2928.08146
DDX49	3	L	3	0
DDX49	4	L	1	0
DDX49	4	L	2	0
DDX49	4	L	3	0
DDX49	5	L	1	4856.403908
DDX49	5	L	2	5456.762182
DDX49	5	L	3	4093.488504
DDX49	6	L	1	0
DDX49	6	L	2	0
DDX49	6	L	3	0
PPP1R12A3	1	H	1	0
PPP1R12A3	1	H	2	0
PPP1R12A3	1	H	3	0
PPP1R12A3	2	H	1	7192.555471
PPP1R12A3	2	H	2	9706.886795
PPP1R12A3	2	H	3	0
PPP1R12A3	3	H	1	0
PPP1R12A3	3	H	2	7525.156833
PPP1R12A3	3	H	3	0
PPP1R12A3	4	H	1	0
PPP1R12A3	4	H	2	0
PPP1R12A3	4	H	3	0
PPP1R12A3	5	H	1	3962.081017
PPP1R12A3	5	H	2	0
PPP1R12A3	5	H	3	4971.934217
PPP1R12A3	6	H	1	4816.985927
PPP1R12A3	6	H	2	0
PPP1R12A3	6	H	3	2901.405386
PPP1R12A3	1	L	1	0
PPP1R12A3	1	L	2	0
PPP1R12A3	1	L	3	0
PPP1R12A3	2	L	1	3060.677002
PPP1R12A3	2	L	2	423.9726301
PPP1R12A3	2	L	3	2986.999241
PPP1R12A3	3	L	1	0
PPP1R12A3	3	L	2	3308.600635
PPP1R12A3	3	L	3	0
PPP1R12A3	4	L	1	0
PPP1R12A3	4	L	2	0
PPP1R12A3	4	L	3	0
PPP1R12A3	5	L	1	0
PPP1R12A3	5	L	2	2296.918413
PPP1R12A3	5	L	3	0
PPP1R12A3	6	L	1	5827.062833
PPP1R12A3	6	L	2	6469.309493
PPP1R12A3	6	L	3	0
FAM47E-STBD1	1	H	1	5019.54
FAM47E-STBD1	1	H	2	8086.085587
FAM47E-STBD1	1	H	3	7762.960061
FAM47E-STBD1	2	H	1	3471.366039
FAM47E-STBD1	2	H	2	3832.619036
FAM47E-STBD1	2	H	3	3961.369585
FAM47E-STBD1	3	H	1	8006.821377
FAM47E-STBD1	3	H	2	5059.99344
FAM47E-STBD1	3	H	3	0
FAM47E-STBD1	4	H	1	0
FAM47E-STBD1	4	H	2	0
FAM47E-STBD1	4	H	3	0
FAM47E-STBD1	5	H	1	8947.534045
FAM47E-STBD1	5	H	2	0
FAM47E-STBD1	5	H	3	0
FAM47E-STBD1	6	H	1	6532.485683
FAM47E-STBD1	6	H	2	7364.019777
FAM47E-STBD1	6	H	3	6480.657063
FAM47E-STBD1	1	L	1	3645.69626
FAM47E-STBD1	1	L	2	8082.667719
FAM47E-STBD1	1	L	3	8560.260603
FAM47E-STBD1	2	L	1	4608.764653
FAM47E-STBD1	2	L	2	5427.311412
FAM47E-STBD1	2	L	3	7787.944601
FAM47E-STBD1	3	L	1	5905.968923
FAM47E-STBD1	3	L	2	9062.232259
FAM47E-STBD1	3	L	3	7697.273783
FAM47E-STBD1	4	L	1	0
FAM47E-STBD1	4	L	2	0
FAM47E-STBD1	4	L	3	0
FAM47E-STBD1	5	L	1	1223.602704
FAM47E-STBD1	5	L	2	4371.012777
FAM47E-STBD1	5	L	3	6096.544317
FAM47E-STBD1	6	L	1	4211.683233
FAM47E-STBD1	6	L	2	8488.606805
FAM47E-STBD1	6	L	3	5932.124258
EIF3F	1	H	1	25157.7
EIF3F	1	H	2	22359.567
EIF3F	1	H	3	25558.00902
EIF3F	2	H	1	34819.48068
EIF3F	2	H	2	34543.54952
EIF3F	2	H	3	33615.43115
EIF3F	3	H	1	32602.93784
EIF3F	3	H	2	29892.00881
EIF3F	3	H	3	35475.04017
EIF3F	4	H	1	15454.77624
EIF3F	4	H	2	13242.28209
EIF3F	4	H	3	17625.56935
EIF3F	5	H	1	27306.09459
EIF3F	5	H	2	28086.84739
EIF3F	5	H	3	25986.47334
EIF3F	6	H	1	29394.36669
EIF3F	6	H	2	31373.23239
EIF3F	6	H	3	30299.85346
EIF3F	1	L	1	28055.20357
EIF3F	1	L	2	23935.78411
EIF3F	1	L	3	28578.91065
EIF3F	2	L	1	36654.59506
EIF3F	2	L	2	35338.12006
EIF3F	2	L	3	36456.05641
EIF3F	3	L	1	31507.36624
EIF3F	3	L	2	33261.44136
EIF3F	3	L	3	31546.713
EIF3F	4	L	1	11346.5904
EIF3F	4	L	2	13948.51703
EIF3F	4	L	3	11971.97592
EIF3F	5	L	1	32767.84488
EIF3F	5	L	2	33571.84279
EIF3F	5	L	3	30868.89385
EIF3F	6	L	1	31572.78506
EIF3F	6	L	2	31750.7777
EIF3F	6	L	3	25975.59839
BLOC1S2	1	H	1	0
BLOC1S2	1	H	2	0
BLOC1S2	1	H	3	0
BLOC1S2	2	H	1	6654.910107
BLOC1S2	2	H	2	5642.464341
BLOC1S2	2	H	3	5250.991309
BLOC1S2	3	H	1	8006.958737
BLOC1S2	3	H	2	7361.802219
BLOC1S2	3	H	3	7241.175688
BLOC1S2	4	H	1	0
BLOC1S2	4	H	2	0
BLOC1S2	4	H	3	5937.312617
BLOC1S2	5	H	1	0
BLOC1S2	5	H	2	0
BLOC1S2	5	H	3	0
BLOC1S2	6	H	1	9974.937794
BLOC1S2	6	H	2	3198.372951
BLOC1S2	6	H	3	5569.884138
BLOC1S2	1	L	1	0
BLOC1S2	1	L	2	0
BLOC1S2	1	L	3	0
BLOC1S2	2	L	1	8794.398613
BLOC1S2	2	L	2	7630.85219
BLOC1S2	2	L	3	5932.49628
BLOC1S2	3	L	1	7203.515576
BLOC1S2	3	L	2	8677.537601
BLOC1S2	3	L	3	12441.40992
BLOC1S2	4	L	1	0
BLOC1S2	4	L	2	0
BLOC1S2	4	L	3	0
