Protein	Donor	Type	Replicate	Value
DDX3Y	3	H	1	20904.34098
DDX3Y	3	H	2	17771.77068
DDX3Y	3	H	3	20374.03049
DDX3Y	4	H	1	12688.24247
DDX3Y	4	H	2	9647.019301
DDX3Y	4	H	3	7134.66847
DDX3Y	5	H	1	22066.28059
DDX3Y	5	H	2	22013.16714
DDX3Y	5	H	3	22390.16733
DDX3Y	6	H	1	24075.30649
DDX3Y	6	H	2	23759.50799
DDX3Y	6	H	3	22593.62647
DDX3Y	1	L	1	31476.30669
DDX3Y	1	L	2	28390.4144
DDX3Y	1	L	3	30275.04226
DDX3Y	2	L	1	27931.17044
DDX3Y	2	L	2	25156.23889
DDX3Y	2	L	3	24222.54927
DDX3Y	3	L	1	22137.92633
DDX3Y	3	L	2	21681.54413
DDX3Y	3	L	3	21045.86392
DDX3Y	4	L	1	15350.20865
DDX3Y	4	L	2	10670.34542
DDX3Y	4	L	3	10455.58027
DDX3Y	5	L	1	23905.16434
DDX3Y	5	L	2	26026.58114
DDX3Y	5	L	3	23418.89826
DDX3Y	6	L	1	29714.57648
DDX3Y	6	L	2	26348.0068
DDX3Y	6	L	3	26967.95443
LARS	1	H	1	13842.3
LARS	1	H	2	15607.72911
LARS	1	H	3	14688.09005
LARS	2	H	1	12922.3959
LARS	2	H	2	11448.93267
LARS	2	H	3	13090.76926
LARS	3	H	1	8625.799298
LARS	3	H	2	12207.6577
LARS	3	H	3	11422.57742
LARS	4	H	1	7992.273902
LARS	4	H	2	10254.70828
LARS	4	H	3	8642.979106
LARS	5	H	1	15015.64045
LARS	5	H	2	11048.49191
LARS	5	H	3	9421.990394
LARS	6	H	1	12388.68647
LARS	6	H	2	14639.1439
LARS	6	H	3	13527.57161
LARS	1	L	1	15939.67238
LARS	1	L	2	19657.07715
LARS	1	L	3	17021.17959
LARS	2	L	1	14736.42968
LARS	2	L	2	14389.09671
LARS	2	L	3	13689.5957
LARS	3	L	1	14455.80512
LARS	3	L	2	14552.36612
LARS	3	L	3	11617.12798
LARS	4	L	1	12349.72867
LARS	4	L	2	11998.24566
LARS	4	L	3	11814.36281
LARS	5	L	1	14047.93856
LARS	5	L	2	14766.64384
LARS	5	L	3	14348.40576
LARS	6	L	1	16479.93798
LARS	6	L	2	18009.37963
LARS	6	L	3	15008.02131
CCT7	1	H	1	45976.5
CCT7	1	H	2	42589.67487
CCT7	1	H	3	43750.32683
CCT7	2	H	1	56428.23684
CCT7	2	H	2	56200.45947
CCT7	2	H	3	57623.58847
CCT7	3	H	1	46641.11671
CCT7	3	H	2	47298.44566
CCT7	3	H	3	49228.9269
CCT7	4	H	1	26253.6516
CCT7	4	H	2	32012.9274
CCT7	4	H	3	31793.62718
CCT7	5	H	1	56035.49084
CCT7	5	H	2	57425.87849
CCT7	5	H	3	48563.67693
CCT7	6	H	1	54583.20832
CCT7	6	H	2	56349.19049
CCT7	6	H	3	56937.82424
CCT7	1	L	1	53567.98544
CCT7	1	L	2	54839.83787
CCT7	1	L	3	52170.2193
CCT7	2	L	1	70798.19412
CCT7	2	L	2	72601.08359
CCT7	2	L	3	68836.13503
CCT7	3	L	1	61270.53289
CCT7	3	L	2	57333.36837
CCT7	3	L	3	61854.59802
CCT7	4	L	1	26179.14721
CCT7	4	L	2	27812.09852
CCT7	4	L	3	28058.83586
CCT7	5	L	1	63639.28388
CCT7	5	L	2	70154.84399
CCT7	5	L	3	60703.44791
CCT7	6	L	1	68466.96877
CCT7	6	L	2	66641.08904
CCT7	6	L	3	67950.93238
CADPS	1	H	1	10899.2
CADPS	1	H	2	12198.03423
CADPS	1	H	3	9207.374158
CADPS	2	H	1	40467.3363
CADPS	2	H	2	39140.47832
CADPS	2	H	3	39806.98006
CADPS	3	H	1	35982.67748
CADPS	3	H	2	36840.77926
CADPS	3	H	3	39944.35101
CADPS	4	H	1	9565.362407
CADPS	4	H	2	9677.421024
CADPS	4	H	3	8493.690599
CADPS	5	H	1	31994.81145
CADPS	5	H	2	29113.24373
CADPS	5	H	3	30813.15489
CADPS	6	H	1	30798.9226
CADPS	6	H	2	29083.41907
CADPS	6	H	3	28161.3894
CADPS	1	L	1	15305.33137
