ionIdx	ionMz	ionAverageInt	ionTopFormula	ionTopIon	ionTopName	D1 LG	D1 HG	D2 LG	D2 HG	D3 LG	D3 HG	D4 LG	D4 HG	D5 LG	D5 HG		
139	143.1185	21174.41243	C7H16N2O	-H(-)	Acetylcadaverine	19885.5	22477	16015	16918	21159.5	20242	19910	19323.5	19216	20780.5	CHEBI:27931	CHEBI:27931
148	145.1112	13292.62296	C7H16NO2	-H(-)	Acetylcholine	10718.5	14143.5	7042	8564.5	11824.5	12002.5	12231.5	9573.5	13152	11993	C03033	C03033
1211	805.4368	10501.42662	C43H66O14	-H(-)	Acetyldigitoxin	9484	11110	22105	15939	8129.5	7746.5	11663.5	11575	10008	11203.5	HMDB0124594	HMDB0124594
467	234.0626	10148.36617	C8H13NO7	-H(-)	Acetylhexosaminate &1	8408	7822.5	5218.5	6867.5	15854	18996.5	11271.5	11576	11547	12288	HMDB0010341	HMDB0010341
684	308.0988	42151.03366	C11H19NO9	-H(-)	Acetylneuraminic acid	68307	70471	50697	71138	17067.5	24586	54698.5	64349	53981.5	63207	CHEBI:75666	CHEBI:75666
235	173.0935	24077.47322	C7H14N2O3	-H(-)	Acetylornithine	17435	21515	9861	11978.5	48558	47311.5	17848.5	16276.5	29229	25788	HMDB0132807	HMDB0132807
998	459.1651	10427.34474	C24H28O9	-H(-)	Acetylpicropolin	7284	7585.5	6226.5	6302.5	8229	8706	7961.5	9486	7896	8463.5	CHEBI:89404	CHEBI:89404
589	275.1298	15408.24041	C16H20O4	-H(-)	Acetylpterosin C	18841	20230	9486.5	10345	16540.5	18553	19645	19989	14178	14620	HMDB0062313	HMDB0062313
513	252.0869	11129.73172	C12H15NO5	-H(-)	Acetylvanilalanine	11918	12918.5	8143	7795	13489	12358.5	14789.5	11934.5	11019	12605.5	C09456	C09456
233	173.0086	49776.70068	C6H6O6	-H(-)	Aconitate	45366.5	46678	21275	27928.5	70227.5	55164	52533	103965	50550	50383.5	CHEBI:34496	CHEBI:34496
1096	553.2796	9189.170764	C32H42O8	-H(-)	Acrovestone	10101	9448.5	6434.5	6111	8337.5	10690.5	10774	11138.5	8847	9107	HMDB0035692	HMDB0035692
8	70.0298	7322.945491	C3H5NO	-H(-)	Acrylamide	5071.5	5443	4034	4072.5	17901	15094	9819	8886.5	8927	9694.5	#N/A	#N/A
1139	633.1251	11415.97515	C32H26O14	-H(-)	Actinorhodin	10396	8418	15966.5	17433.5	9201	9425	11639.5	12331.5	11951	11226	HMDB0114643	HMDB0114643
740	327.1234	10036.1004	C19H20O5	-H(-)	Acutilobin	9159	9953.5	8263	8416.5	9575.5	10163.5	10110.5	9727	12402.5	11830.5	HMDB0000731	HMDB0000731
929	411.1974	62413.17598	C28H28O3	-H(-)	Adapalene	58273.5	98304	143002.5	155232.5	47278	34229	70638.5	45585	104074.5	71938	HMDB0127029	HMDB0127029
116	134.0472	75171.4077	C5H5N5	-H(-)	Adenine	57263.5	64286.5	81488.5	113373.5	89444	96651	96177.5	81897.5	74454	102362.5	CHEBI:60908	CHEBI:60908
1065	521.9656	49614.08369	C10H16N5O12P3S	-H(-)	Adenosine O-(thiotriphophate)	86345	41579.5	28851.5	18332	80496.5	79529.5	83697	69371.5	82471	70726	C19422	C19422
957	426.0217	66870.59529	C10H15N5O10P2	-H(-)	ADP	46482	77638	106982	177023.5	33713	28509	97458	104822.5	71764.5	108234	CHEBI:18009	CHEBI:18009
1132	618.0864	15754.70757	C17H27N5O16P2	-H(-)	ADP-glycero-manno-heptose	31058	14530.5	7193.5	5719.5	26925.5	29660	26078	27330.5	21221	18306.5	HMDB0114643	HMDB0114643
269	182.0815	8387.657714	C9H13NO3	-H(-)	Adrenaline	7846.5	7521	5471.5	6808	9198	8900	9879.5	8090.5	9679	8965.5	HMDB0112223	HMDB0112223
726	323.1502	31846.82184	C17H24O6	-H(-)	AF Toxin II	20093.5	21220.5	10042	12112.5	15821	17382	20651	17503	25400	18230.5	HMDB0034510	HMDB0034510
1005	465.1403	23995.5896	C22H26O11	-H(-)	Agnuside	18894.5	26528	12579.5	13498.5	21246	24633.5	22789.5	22051	18112.5	22450.5	HMDB0056142	HMDB0056142
191	159.0778	58764.53957	C6H12N2O3	-H(-)	Ala-Ala	18239	14807	9147.5	14177.5	286438.5	233858	15016	12421.5	95101	72104	HMDB0130958	HMDB0130958
24	88.0404	239085.7153	C3H7NO2	-H(-)	Alanine	189792	205583	64802.5	97330	450508	375912	371838.5	301339	286002	270462.5	HMDB0094654	HMDB0094654
432	225.1130	30084.25902	C12H18O4	-H(-)	Allixin	30095.5	32552	20152	19653	27857	27873	31861.5	25064.5	30072.5	29720.5	HMDB0127029	HMDB0127029
640	293.1419	27810.38223	C17H18N4O	-H(-)	Alosetron	27139	58780.5	17316.5	16214	25149	27175	30897	30499	31142	31642.5	HMDB0037988	HMDB0037988
664	302.0649	118806.292	(C4H5O3)3.	-H(-)	Aluminum acetoacetate	213575.5	158622	39739.5	33890	190614	245334	203185.5	236046	149609	161969.5	CHEBI:85983	CHEBI:85983
201	162.0775	9312.875441	C6H13NO4	-H(-)	Amino-dideoxy-hexose	5069.5	10518.5	4681.5	7371	6683	10802.5	14068.5	6995	9187.5	35932	HMDB0035544	HMDB0035544
765	333.0930	13227.56363	C12H18N2O9	-H(-)	Amino-dihydro-oxo-isoxazole...	14697.5	21480.5	6692.5	6984.5	11840	21757	14357	23776.5	11420.5	15929	CHEBI:6731	CHEBI:6731
316	196.0369	13944.19556	C7H7N3O4	-H(-)	Amino-dinitrotoluene	11294.5	13153.5	9140.5	12745.5	17250	15858.5	15257	15323	14193	15604	C17223	C17223
308	194.0682	18826.32748	C7H9N5O2	-H(-)	Amino-hydroxy-hydroxymethyl...	33408.5	21133	7759.5	7052	29524	29462.5	32704	30838	25907.5	23246	C03033	C03033
89	125.0463	8986.724816	C4H6N4O	-H(-)	Amino-imidazolecarboxyamide	5863	6420.5	5228.5	5915	19958.5	13986	7965	8175.5	9028	9318	CHEBI:132843	CHEBI:132843
411	218.0335	137648.8482	C6H10N3O4P	-H(-)	Amino-methyl-phosphomethylp...	132325.5	137134.5	51806.5	70412	89868.5	295686.5	112540.5	263855.5	164512	309187	HMDB0127029	HMDB0127029
187	158.0461	11170.38325	C6H9NO4	-H(-)	Amino-methylenepentanedioic...	10607.5	9907	8964	10093.5	10092.5	10498	15629.5	15442.5	15249.5	13110	HMDB0062364	HMDB0062364
137	143.0835	9886.987979	C6H12N2O2	-H(-)	Amino-piperidinecarboxylic ...	8695	10443	6496.5	7348	9027.5	11067	10394.5	9856.5	9340.5	9831	C02630	C02630
